intervention,feature_scope,compartment,feature,reference_n,treatment_n,reference_mean,treatment_mean,effect_percentage_points,ci_low,ci_high,mann_whitney_u,p_value,minimum_total_cells,fdr_global_scope
alpha5beta1 blockade,Level 3 fraction within compartment,Immune,IL-22+ ILC3-like cell,6,12,0.004756298178116584,0.004249403977664841,-0.05068942004517428,-0.5312418933110282,0.7660784120999375,8.0,0.005930145606157915,0,0.0139358421744711
alpha5beta1 blockade,Level 3 fraction within compartment,Immune,IL-5/IL-13+ ILC2,6,12,0.005816536090563433,0.015217542461120373,0.9401006370556939,-0.43545621469267626,2.7531559692678815,34.0,0.8806949402371275,0,0.8998404824161955
alpha5beta1 blockade,Level 3 fraction within compartment,Immune,Inflammatory monocyte/macrophage,6,12,0.10391442102487226,0.13152544024369878,2.761101921882651,-3.821974170998525,9.121514630573715,44.0,0.48240520716622515,0,0.5272801101584321
alpha5beta1 blockade,Level 3 fraction within compartment,Immune,Inflammatory neutrophil,6,12,0.04293439232413582,0.011707332945891298,-3.122705937824452,-6.848674148834671,-0.3677704235286139,15.0,0.044531368740161635,0,0.0654054478371124
alpha5beta1 blockade,Level 3 fraction within compartment,Immune,Mast cell/basophil,6,12,0.0012270509922489333,0.015936365497153857,1.4709314504904925,0.594664510432042,2.403870612885074,49.5,0.20265119873726567,0,0.2574217929905807
alpha5beta1 blockade,Level 3 fraction within compartment,Immune,Mature B cell,6,12,0.1520109478140609,0.010425293305728077,-14.158565450833283,-19.431738644548386,-8.687562768258223,1.0,0.0007219849927575145,0,0.0034645546955279233
alpha5beta1 blockade,Level 3 fraction within compartment,Immune,Naive T cell,6,12,0.0024094440541395997,0.0,-0.24094440541395998,-0.5511777878790332,-0.04036538283267667,12.0,0.00251103011687829,0,0.007376150968329977
alpha5beta1 blockade,Level 3 fraction within compartment,Immune,Naive conventional T cell,6,12,0.050257772412730016,0.004120430908188342,-4.613734150454167,-8.757346261608882,-0.9249300843815117,6.0,0.0031599212365604123,0,0.008736252830490551
alpha5beta1 blockade,Level 3 fraction within compartment,Immune,Plasma cell,6,12,0.027672852051010863,0.002136752136752133,-2.553609991425873,-4.341266268668672,-1.1489271690738954,4.0,0.0007917328385520969,0,0.0034645546955279233
alpha5beta1 blockade,Level 3 fraction within compartment,Stromal,Ackr4+ Pi16-like fibroblast,6,4,0.03482619725812089,0.022727272727272724,-1.2098924530848165,-4.1269403877229,3.385573231846681,6.0,0.23519564042349617,0,0.29089987105011367
alpha5beta1 blockade,Level 3 fraction within compartment,Stromal,Apod+ Wnt5a+ trophic fibroblast,6,4,0.0243888997345624,0.028162055335968376,0.37731556014059775,-2.6462418847160283,4.6392298551916795,9.0,0.5929096584060489,0,0.633335316933734
alpha5beta1 blockade,Level 3 fraction within compartment,Stromal,Ccl7+ Cxcl1+ inflammatory fibroblast,6,4,0.16251377423043223,0.0108695652173913,-15.164420901304092,-19.415551050632903,-10.268716879087625,0.0,0.013061845200729446,0,0.0255794468514285
alpha5beta1 blockade,Level 3 fraction within compartment,Stromal,Clec3b+ Has1+ matrix fibroblast,6,4,0.1264617345153698,0.0,-12.64617345153698,-18.56337456383717,-6.483734342615133,0.0,0.011417221487911723,0,0.02333084391008048
alpha5beta1 blockade,Level 3 fraction within compartment,Stromal,Cxcl13+ fibroblast,6,4,0.032517917306257055,0.14772727272727273,11.520935542101569,-3.545790108565688,35.14148165959371,12.0,1.0,0,1.0
alpha5beta1 blockade,Level 3 fraction within compartment,Stromal,ECM-rich fibroblast,6,4,0.2961142815117708,0.7850790513833993,48.89647698716285,24.99447913231894,70.99232239014309,23.0,0.025181464404459664,0,0.04383440100035571
alpha5beta1 blockade,Level 3 fraction within compartment,Stromal,Fibroblast (subtype unresolved),6,4,0.03884020882631623,0.0,-3.8840208826316234,-5.6137396625291025,-2.3429262419209067,0.0,0.011417221487911723,0,0.02333084391008048
alpha5beta1 blockade,Level 3 fraction within compartment,Stromal,Il1r1+ fibroblast,6,4,0.27585698992671864,0.0,-27.585698992671865,-37.83332255596065,-17.900705124046482,0.0,0.011417221487911723,0,0.02333084391008048
alpha5beta1 blockade,Level 3 fraction within compartment,Stromal,Pdgfra+ Wnt5a+ fibroblast,6,4,0.0031380056753709837,0.00543478260869565,0.22967769333246665,-0.5712802963845709,1.3369099652743535,10.5,0.8101812364104736,0,0.8461892913620501
alpha5beta1 blockade,Level 3 fraction within compartment,Stromal,Wif1+ BMP-niche fibroblast,6,4,0.005341991015081051,0.0,-0.5341991015081051,-0.8367126250337916,-0.22826055955983,2.0,0.03072784224986109,0,0.049800296060119695
