direction,ligand,receptor,disease_score_fap_series,attenuation_fap_ablation,disease_score_blockade_series,attenuation_a5b1_blockade,disease_induced_both_series,attenuation_class,consensus_strength,interaction,attenuation_difference_ablation_minus_blockade,prespecified_focus,focus_order
Neutrophil -> Fibroblast,Sema4d,Plxnb2,0.0332858573073747,0.0789213810632934,-0.12764351882033,0.224273899570952,False,Attenuated by both,,Sema4d → Plxnb2,-0.14535251850765862,False,
Neutrophil -> Fibroblast,Gm9733,Cd47,0.032126517450331,0.208840464873907,-0.125065323532511,0.288047475549588,False,Attenuated by both,,Gm9733 → Cd47,-0.07920701067568098,False,
Neutrophil -> Fibroblast,Ltb,Tnfrsf1a,0.0315423904297544,0.225438434409107,0.164874794594629,0.244293288596999,True,Attenuated by both,0.225438434409107,Ltb → Tnfrsf1a,-0.01885485418789201,False,
Neutrophil -> Fibroblast,L1cam,Ezr,0.0307334695163799,0.443178370093128,-0.124345523099756,-0.0332877052818817,False,FAP ablation only,,L1cam → Ezr,0.4764660753750097,False,
Fibroblast -> Neutrophil,Vegfd,Itga4,-0.0301880348803576,0.296193000758416,-0.198000360662191,-0.0029769084402798,False,FAP ablation only,,Vegfd → Itga4,0.2991699091986958,False,
Neutrophil -> Fibroblast,Grn,Tnfrsf1a,0.0300368183321224,0.386877144728007,0.075118514044856,0.416320416935135,True,Attenuated by both,0.386877144728007,Grn → Tnfrsf1a,-0.029443272207128002,False,
Fibroblast -> Neutrophil,F11r,Itgb2,-0.026610654744319,0.10110839483819,-0.443589390167173,-0.368957826875309,False,FAP ablation only,,F11r → Itgb2,0.470066221713499,False,
Fibroblast -> Neutrophil,Timp1,Mmp9,-0.0256725532266634,0.48217033736143,0.266836449602042,0.42016028363542,False,Attenuated by both,,Timp1 → Mmp9,0.062010053726009984,False,
Fibroblast -> Neutrophil,Cd47,Gm9733,0.0248038711680516,0.205331156559934,-0.110410924645978,0.283224128129394,False,Attenuated by both,,Cd47 → Gm9733,-0.07789297156946001,False,
Neutrophil -> Fibroblast,Csf3,Csf2ra,-0.0246454978512598,0.414971054864453,0.291966563299051,0.148995952863895,False,Attenuated by both,,Csf3 → Csf2ra,0.265975102000558,False,
