feature_scope,compartment,feature,effect_percentage_points_ablation,ci_low_ablation,ci_high_ablation,fdr_global_scope_ablation,reference_n_ablation,treatment_n_ablation,effect_percentage_points_blockade,ci_low_blockade,ci_high_blockade,fdr_global_scope_blockade,reference_n_blockade,treatment_n_blockade,ablation_minus_blockade_percentage_points,difference_ci_low,difference_ci_high,effect_concordant,max_abs_effect
Level 3 fraction within compartment,Immune,Cxcr2+ neutrophil,-3.892459879476198,-6.30555096704674,-1.3146442162876102,0.04668683851156733,6,5,17.753089211355984,11.704908484322132,24.864653340022617,0.0034645546955279233,6,12,-21.645549090832183,-28.22477577324131,-16.225177783170327,False,17.753089211355984
Level 3 fraction within compartment,Immune,Cycling immune cell,1.1175871452945678,-0.5715586478974681,3.152700935550952,0.9472533890657203,6,5,0.7137493594378266,-0.5354507819839266,2.2834212766835695,0.17566641799185753,6,12,0.40383778585674124,-1.9695846304706117,2.7655378713703866,True,1.1175871452945678
Level 3 fraction within compartment,Immune,Follicular B cell,0.610479168573716,-1.1500837643918218,2.5575946469488446,0.8896181536591581,6,5,2.7534135495384535,0.584153436676335,5.104941646177012,0.3331389106809999,6,12,-2.1429343809647374,-4.888703684387759,0.5594772051429113,True,2.7534135495384535
Level 3 fraction within compartment,Immune,Folr2+ resident macrophage,5.098639551268547,-10.508036575275721,22.059482699811095,0.4832937053371042,6,5,-9.382202187055674,-21.015803122869553,1.154229019088614,0.09332960937558658,6,12,14.480841738324221,2.670682350411773,28.98536797063154,False,9.382202187055674
Level 3 fraction within compartment,Immune,Foxp3+ regulatory T cell,-2.74449386145989,-5.562117683126214,0.1909044927144155,0.17914222413527228,6,5,-3.022227012047592,-5.493766758256842,-0.5284423014000764,0.03845926306268098,6,12,0.27773315058770165,-2.0903010033444818,2.8751804307335895,True,3.022227012047592
Level 3 fraction within compartment,Immune,Gamma-delta T/NK cell,0.880608343333609,-0.8552614025950489,2.9648187513789113,1.0,6,5,6.322980084178593,2.6277286164657085,10.713199542643862,0.1349615510437145,6,12,-5.442371740844985,-10.131496071956445,-1.2667578867539158,True,6.322980084178593
Level 3 fraction within compartment,Immune,Gamma-delta T/NK-like cell,34.16680897539142,21.330132287689942,45.0146476747771,0.03813165114815917,6,5,4.673919156557455,0.5454420648271083,9.488200739523943,0.38117294946117974,6,12,29.492889818833966,15.815488260775641,41.40729563536795,True,34.16680897539142
Level 3 fraction within compartment,Immune,IL-17+ gamma-delta T cell,-0.12132224583341722,-0.6757629254243684,0.6023689767074332,0.28637570753062086,6,5,-0.15033285252858078,-0.6315078076188317,0.4311329069535372,0.0591763510015222,6,12,0.029010606695163567,-0.6852751075905515,0.7357550775043998,True,0.15033285252858078
Level 3 fraction within compartment,Immune,IL-22+ ILC3-like cell,-0.15101304594511236,-0.5735319574975167,0.5247858057057798,0.2074888896895377,6,5,-0.05068942004517428,-0.5312418933110282,0.7660784120999375,0.0139358421744711,6,12,-0.10032362589993808,-1.1363636363636374,0.6492335437330921,True,0.15101304594511236
Level 3 fraction within compartment,Immune,IL-5/IL-13+ ILC2,0.10041689136845262,-0.7741812806608903,1.0745484716462443,0.8267061228852429,6,5,0.9401006370556939,-0.43545621469267626,2.7531559692678815,0.8998404824161955,6,12,-0.8396837456872414,-2.709926235387868,0.7049510399238328,True,0.9401006370556939
Level 3 fraction within compartment,Immune,Inflammatory monocyte/macrophage,-9.778277088961529,-15.122262187163207,-4.5492723699124795,0.04175373917792852,6,5,2.761101921882651,-3.821974170998525,9.121514630573715,0.5272801101584321,6,12,-12.53937901084418,-16.76710501093215,-8.26373449134093,False,9.778277088961529
Level 3 fraction within compartment,Immune,Inflammatory neutrophil,-4.159798030893701,-7.796222057766542,-1.5702178560824867,0.03813165114815917,6,5,-3.122705937824452,-6.848674148834671,-0.3677704235286139,0.0654054478371124,6,12,-1.03709209306925,-2.073527900211197,-0.1308576867264543,True,4.159798030893701
Level 3 fraction within compartment,Immune,Mast cell/basophil,-0.05056803881010533,-0.19844648196707,0.12153797737154402,0.6525871240562797,6,5,1.4709314504904925,0.594664510432042,2.403870612885074,0.2574217929905807,6,12,-1.5214994893005978,-2.449066076956884,-0.6423786573207626,False,1.4709314504904925
Level 3 fraction within compartment,Immune,Mature B cell,-15.09288919078391,-20.22908764110862,-9.702187939387526,0.03813165114815917,6,5,-14.158565450833283,-19.431738644548386,-8.687562768258223,0.0034645546955279233,6,12,-0.9343237399506257,-2.2023809523809517,0.061909294325887,True,15.09288919078391
Level 3 fraction within compartment,Immune,Naive T cell,-0.20487587520656597,-0.5187737443574643,0.010844992160917683,0.2757208135755657,6,5,-0.24094440541395998,-0.5511777878790332,-0.04036538283267667,0.007376150968329977,6,12,0.036068530207394,0.0,0.10820559062218199,True,0.24094440541395998
Level 3 fraction within compartment,Immune,Naive conventional T cell,-4.142098251191848,-8.56798192417484,-0.19432342060094585,0.12305587178477055,6,5,-4.613734150454167,-8.757346261608882,-0.9249300843815117,0.008736252830490551,6,12,0.47163589926231975,-0.7711988304093566,2.3329637073761402,True,4.613734150454167
Level 3 fraction within compartment,Immune,Plasma cell,6.4341194290216634,-0.7031255344702355,15.005321416335732,0.37997987814979595,6,5,-2.553609991425873,-4.341266268668672,-1.1489271690738954,0.0034645546955279233,6,12,8.987729420447536,2.1261925002992568,17.155557096945735,False,6.4341194290216634
Level 3 fraction within compartment,Stromal,Ackr4+ Pi16-like fibroblast,36.37497776049151,22.451578642679536,50.75414259456746,0.04175373917792852,6,4,-1.2098924530848165,-4.1269403877229,3.385573231846681,0.29089987105011367,6,4,37.58487021357632,23.66441566812178,53.65070093457944,False,36.37497776049151
Level 3 fraction within compartment,Stromal,Apod+ Wnt5a+ trophic fibroblast,8.396173821899636,7.263398798715625,9.678260087455858,0.04175373917792852,6,4,0.37731556014059775,-2.6462418847160283,4.6392298551916795,0.633335316933734,6,4,8.018858261759037,3.505847171995993,10.878935532233886,True,8.396173821899636
Level 3 fraction within compartment,Stromal,Ccl7+ Cxcl1+ inflammatory fibroblast,-4.930842145008441,-14.266093758740451,4.053613268135125,0.5222102294658173,6,4,-15.164420901304092,-19.415551050632903,-10.268716879087625,0.0255794468514285,6,4,10.233578756295653,1.7241379310344824,18.2242990654206,True,15.164420901304092
Level 3 fraction within compartment,Stromal,Clec3b+ Has1+ matrix fibroblast,-9.473407068674748,-15.455276695914435,-3.393032117500285,0.25101454533898376,6,4,-12.64617345153698,-18.56337456383717,-6.483734342615133,0.02333084391008048,6,4,3.172766382862233,1.14247311827957,4.621394834689981,True,12.64617345153698
Level 3 fraction within compartment,Stromal,Cxcl13+ fibroblast,14.113524612559344,9.905591451509158,18.96419108714481,0.04175373917792852,6,4,11.520935542101569,-3.545790108565688,35.14148165959371,1.0,6,4,2.5925890704577763,-21.243554624556875,18.474187310926975,True,14.113524612559344
Level 3 fraction within compartment,Stromal,ECM-rich fibroblast,-18.680679985163636,-33.70634343044912,-4.325804162214353,0.3060775521344269,6,4,48.89647698716285,24.99447913231894,70.99232239014309,0.04383440100035571,6,4,-67.57715697232648,-85.89750101584725,-46.92821530042666,False,48.89647698716285
Level 3 fraction within compartment,Stromal,Fibroblast (subtype unresolved),-1.8330010579042506,-3.944345228237594,0.1545276409378812,0.25101454533898376,6,4,-3.8840208826316234,-5.6137396625291025,-2.3429262419209067,0.02333084391008048,6,4,2.0510198247273728,0.60483870967742,3.1703190460844377,True,3.8840208826316234
Level 3 fraction within compartment,Stromal,Il1r1+ fibroblast,-27.40167226169006,-37.534104299522866,-17.59945522105769,0.04175373917792852,6,4,-27.585698992671865,-37.83332255596065,-17.900705124046482,0.02333084391008048,6,4,0.1840267309818075,0.0,0.368053461963615,True,27.585698992671865
Level 3 fraction within compartment,Stromal,Pdgfra+ Wnt5a+ fibroblast,1.4011977518139294,0.10480891377210497,2.708078189368178,0.2074888896895377,6,4,0.22967769333246665,-0.5712802963845709,1.3369099652743535,0.8461892913620501,6,4,1.1715200584814627,-0.49954861279037766,2.6268407852148727,True,1.4011977518139294
Level 3 fraction within compartment,Stromal,Wif1+ BMP-niche fibroblast,2.0337285716767073,0.2266278766128259,3.6651236986580886,0.2757208135755657,6,4,-0.5341991015081051,-0.8367126250337916,-0.22826055955983,0.049800296060119695,6,4,2.5679276731848124,0.8620689655172425,4.060586529165325,False,2.0337285716767073
