family,feature,min_cells,contrast,n_per_arm,effect,low,high,p,q
Full-gene program,Chemotaxis,50,alpha_interaction,3,-0.619338977039527,-0.844363977517713,-0.394313976561341,0.000621626665730401,0.00870277332022561
Full-gene program,Degranulation,50,alpha_interaction,3,0.0369166927685275,-0.288849811547785,0.36268319708484,0.689162728109812,0.689162728109812
Full-gene program,ER_stress,50,alpha_interaction,3,-0.415906077035845,-0.630219556293888,-0.201592597777802,0.00513964484227144,0.01798875694795
Full-gene program,Hypoxia_glycolysis,50,alpha_interaction,3,-0.153427158301593,-0.282548346792141,-0.024305969811045,0.0295820898040141,0.0563355299638185
Full-gene program,Immature_granulopoiesis,50,alpha_interaction,3,0.219726489142159,-0.0495495452539924,0.489002523538311,0.076231464726532,0.106724050617145
Full-gene program,Integrin_adhesion,50,alpha_interaction,3,-0.284360646415023,-0.494316934517919,-0.0744043583121269,0.0176369611747534,0.0493834912893095
Full-gene program,NETosis,50,alpha_interaction,3,-0.107704729847092,-0.317274293737678,0.101864834043495,0.238126090284966,0.303069569453593
Full-gene program,OSM_inflammation,50,alpha_interaction,3,-0.409424618181872,-0.770789216520172,-0.0480600198435716,0.0321917314078963,0.0563355299638185
Full-gene program,Oxidative_burst,50,alpha_interaction,3,-0.272240434515688,-0.565916089103816,0.0214352200724404,0.0630217992979127,0.0980339100189754
Full-gene program,Phagocytosis,50,alpha_interaction,3,-0.588823954586532,-0.90870373353491,-0.268944175638155,0.00470679750828597,0.01798875694795
Full-gene program,Proliferation_stress,50,alpha_interaction,3,0.00631726511339024,-0.0239908518882999,0.0366253821150804,0.633394799147952,0.682117476005487
Full-gene program,Survival_antiapoptosis,50,alpha_interaction,3,-0.36667502709511,-0.661436096117584,-0.0719139580726367,0.0223296332526555,0.0521024775895294
Full-gene program,Type_I_interferon,50,alpha_interaction,3,-0.0290756680397956,-0.10916317993027,0.0510118438506787,0.414688099831835,0.48380278313714
