state,program,version,n,effect,se,low,high,p,p_signflip,same_sign,contrast,min_cells,q
CXCR4 neutrophil,ER_stress,identity_markers_removed,5,-0.14679905223247,0.0296704027957259,-0.22917729684391,-0.0644208076210299,0.00777416921696287,0.0625,5,alpha_in_UC,10,0.10883836903748
CXCR4 neutrophil,Proliferation_stress,full_gene,5,-0.00960456317988216,0.0186626419443586,-0.0614203640563558,0.0422112376965914,0.633934272156131,0.75,2,alpha_in_UC,10,0.771746070450942
CXCR4 neutrophil,Proliferation_stress,identity_markers_removed,5,-0.00960456317988216,0.0186626419443586,-0.0614203640563558,0.0422112376965914,0.633934272156131,0.75,2,alpha_in_UC,10,0.78889598312763
CXCR4 neutrophil,Integrin_adhesion,full_gene,5,-0.0848909770108255,0.0483984865727084,-0.219266718154603,0.0494847641329518,0.154293657802473,0.25,3,alpha_in_UC,10,0.313815437384698
CXCR4 neutrophil,Integrin_adhesion,identity_markers_removed,5,-0.0848909770108255,0.0483984865727084,-0.219266718154603,0.0494847641329518,0.154293657802473,0.25,3,alpha_in_UC,10,0.313967363059696
CXCR4 neutrophil,CXCR4_aging_retention,full_gene,5,-0.233850212511374,0.0495670755746165,-0.371470476869487,-0.0962299481532609,0.00918614878470877,0.0625,5,alpha_in_UC,10,0.102884866388738
CXCR4 neutrophil,CXCR4_aging_retention,identity_markers_removed,5,-0.232377652300098,0.0512723924459058,-0.374732635338314,-0.0900226692618826,0.0105594850457645,0.0625,5,alpha_in_UC,10,0.118266232512562
MX1/ISG neutrophil,NETosis,full_gene,4,0.0934970514673003,0.0348503934396454,-0.0174124543723827,0.204406557306983,0.0748697524430586,0.125,4,alpha_in_UC,10,0.287106828497454
MX1/ISG neutrophil,NETosis,identity_markers_removed,4,0.0938402124257766,0.0454491080536335,-0.0507991335779493,0.238479558429502,0.130900913252438,0.25,3,alpha_in_UC,10,0.313967363059696
MX1/ISG neutrophil,Degranulation,full_gene,4,0.102958745651037,0.0696066630027485,-0.118560721845188,0.324478213147262,0.235648467399776,0.125,4,alpha_in_UC,10,0.377037547839642
MX1/ISG neutrophil,Degranulation,identity_markers_removed,4,0.102958745651037,0.0696066630027485,-0.118560721845188,0.324478213147262,0.235648467399776,0.125,4,alpha_in_UC,10,0.412384817949608
MX1/ISG neutrophil,Oxidative_burst,full_gene,4,0.0477798548947896,0.0485174607198543,-0.106624358714858,0.202184068504437,0.397336470140151,0.5,3,alpha_in_UC,10,0.590770012770878
MX1/ISG neutrophil,Oxidative_burst,identity_markers_removed,4,0.0477798548947896,0.0485174607198543,-0.106624358714858,0.202184068504437,0.397336470140151,0.5,3,alpha_in_UC,10,0.601374116968877
MX1/ISG neutrophil,Phagocytosis,full_gene,4,0.060118946248555,0.080456674946504,-0.195930101670359,0.316167994167469,0.50916475963072,0.75,2,alpha_in_UC,10,0.712830663483008
MX1/ISG neutrophil,Phagocytosis,identity_markers_removed,4,0.060118946248555,0.080456674946504,-0.195930101670359,0.316167994167469,0.50916475963072,0.75,2,alpha_in_UC,10,0.731108372803085
MX1/ISG neutrophil,Chemotaxis,full_gene,4,-0.0584725820327862,0.0285783538116496,-0.149421658531761,0.0324764944661888,0.133269642465299,0.25,3,alpha_in_UC,10,0.313815437384698
MX1/ISG neutrophil,Chemotaxis,identity_markers_removed,4,-0.0395437276257705,0.0176381569056272,-0.0956762149020981,0.016588759650557,0.110761905023862,0.125,4,alpha_in_UC,10,0.313414504687547
MX1/ISG neutrophil,OSM_inflammation,full_gene,4,0.0132047326492607,0.0221925244883989,-0.0574217849137624,0.0838312502122839,0.593731756558647,0.75,2,alpha_in_UC,10,0.73886618593965
MX1/ISG neutrophil,OSM_inflammation,identity_markers_removed,4,0.00239187008589219,0.0191373652213626,-0.0585117671556981,0.0632955073274825,0.908440844708549,1,2,alpha_in_UC,10,0.959862024597712
MX1/ISG neutrophil,Type_I_interferon,full_gene,4,0.0856034643105521,0.0914784660374692,-0.205521841943413,0.376728770564517,0.41841953845208,0.875,2,alpha_in_UC,10,0.60080754239273
MX1/ISG neutrophil,Type_I_interferon,identity_markers_removed,4,0.0743410463652446,0.119241493462557,-0.305138603941182,0.453820696671671,0.577174916612235,1,1,alpha_in_UC,10,0.751669658843841
MX1/ISG neutrophil,Immature_granulopoiesis,full_gene,4,0.0975136599717192,0.041793431431854,-0.0354916914737125,0.230519011417151,0.101847620363654,0.125,4,alpha_in_UC,10,0.29163137445276
MX1/ISG neutrophil,Immature_granulopoiesis,identity_markers_removed,4,0.0975136599717192,0.041793431431854,-0.0354916914737125,0.230519011417151,0.101847620363654,0.125,4,alpha_in_UC,10,0.313414504687547
MX1/ISG neutrophil,Survival_antiapoptosis,full_gene,4,-0.0344159145154995,0.0496407976722221,-0.192395087658799,0.1235632586278,0.537976614171404,0.75,2,alpha_in_UC,10,0.717302152228539
MX1/ISG neutrophil,Survival_antiapoptosis,identity_markers_removed,4,-0.0344159145154995,0.0496407976722221,-0.192395087658799,0.1235632586278,0.537976614171404,0.75,2,alpha_in_UC,10,0.734797326673137
MX1/ISG neutrophil,Hypoxia_glycolysis,full_gene,4,0.0880724972844821,0.0131912874700273,0.0460919332135586,0.130053061355406,0.00685179414043502,0.125,4,alpha_in_UC,10,0.102884866388738
