DonorID,ConditionCode,state,program,value,cells,version
Donor2,UD,CXCR4 neutrophil,Degranulation,-0.0291900220071486,455,full_gene
Donor3,UD,CXCR4 neutrophil,Degranulation,0.0327911763534698,551,full_gene
Donor3,UD,OSM neutrophil,Degranulation,-0.0089656538826967,754,full_gene
Donor1,UD,PADI4 neutrophil,Degranulation,1.63233124186169,16,full_gene
Donor5,UD,PADI4 neutrophil,Degranulation,2.15377477085223,70,full_gene
Donor1,UD,CXCR4 neutrophil,Degranulation,0.0202041299004564,87,full_gene
Donor1,UA5,MX1/ISG neutrophil,Degranulation,0.115663034710709,68,full_gene
Donor2,UD,PADI4 neutrophil,Degranulation,1.75215154317,52,full_gene
Donor1,UA5,PADI4 neutrophil,Degranulation,1.5763356426181,81,full_gene
Donor3,UD,PADI4 neutrophil,Degranulation,1.11172010402645,52,full_gene
Donor6,UD,PADI4 neutrophil,Degranulation,1.58238424674719,39,full_gene
Donor6,UD,OSM neutrophil,Degranulation,-0.0967625295406514,182,full_gene
Donor2,UA5,PADI4 neutrophil,Degranulation,1.82852990703464,58,full_gene
Donor5,UD,MX1/ISG neutrophil,Degranulation,0.0446289741303203,48,full_gene
Donor1,UD,OSM neutrophil,Degranulation,-0.0526758728185298,84,full_gene
Donor6,UA5,OSM neutrophil,Degranulation,-0.117840627573021,179,full_gene
Donor4,UD,PADI4 neutrophil,Degranulation,0.935014317280626,56,full_gene
Donor4,UD,MX1/ISG neutrophil,Degranulation,0.0629334622824694,134,full_gene
Donor4,UA5,PADI4 neutrophil,Degranulation,0.631774625069245,53,full_gene
Donor3,UA5,PADI4 neutrophil,Degranulation,0.897861493824472,66,full_gene
Donor6,UA5,PADI4 neutrophil,Degranulation,1.52095032214673,36,full_gene
Donor1,UD,MX1/ISG neutrophil,Degranulation,0.13823581904397,13,full_gene
Donor6,UA5,MX1/ISG neutrophil,Degranulation,0.242072638604009,27,full_gene
Donor2,UD,MX1/ISG neutrophil,Degranulation,0.0562986521318071,44,full_gene
Donor5,UA5,OSM neutrophil,Degranulation,-0.25446626039934,1,full_gene
Donor5,UA5,CXCR4 neutrophil,Degranulation,-0.25446626039934,2,full_gene
Donor5,UA5,MX1/ISG neutrophil,Degranulation,0.157503122274047,1,full_gene
Donor4,CF,CXCR4 neutrophil,Degranulation,0.0954295062273939,1309,full_gene
Donor3,NA5,OSM neutrophil,Degranulation,-0.022139518907903,1521,full_gene
Donor2,NA5,MX1/ISG neutrophil,Degranulation,0.0582916329585181,69,full_gene
Donor5,NA5,PADI4 neutrophil,Degranulation,1.14450694537332,59,full_gene
Donor3,NA5,CXCR4 neutrophil,Degranulation,0.0836716154266158,2069,full_gene
Donor2,NA5,PADI4 neutrophil,Degranulation,1.06013041874042,31,full_gene
Donor3,CF,PADI4 neutrophil,Degranulation,0.694653390314696,60,full_gene
Donor5,NA5,CXCR4 neutrophil,Degranulation,0.0172000590007758,1363,full_gene
Donor6,CF,OSM neutrophil,Degranulation,-0.119505711666123,464,full_gene
Donor3,CF,CXCR4 neutrophil,Degranulation,0.0977230007765392,1448,full_gene
Donor1,CF,MX1/ISG neutrophil,Degranulation,0.0306560149503297,65,full_gene
Donor4,NA5,OSM neutrophil,Degranulation,-0.00707495282983356,622,full_gene
Donor1,CF,OSM neutrophil,Degranulation,-0.102259526802137,454,full_gene
Donor3,CF,OSM neutrophil,Degranulation,-0.0135411242985205,1596,full_gene
Donor2,NA5,OSM neutrophil,Degranulation,-0.0970298751244228,423,full_gene
Donor4,NA5,CXCR4 neutrophil,Degranulation,0.0728060789109737,789,full_gene
Donor6,CF,CXCR4 neutrophil,Degranulation,0.0100863022159891,692,full_gene
Donor1,CF,CXCR4 neutrophil,Degranulation,0.0202971245909915,699,full_gene
Donor5,NA5,MX1/ISG neutrophil,Degranulation,0.100357305283252,132,full_gene
Donor5,NA5,OSM neutrophil,Degranulation,-0.0913677449615176,982,full_gene
Donor4,CF,OSM neutrophil,Degranulation,-0.0335411648735581,1266,full_gene
Donor4,CF,MX1/ISG neutrophil,Degranulation,0.0342302027574845,215,full_gene
Donor2,NA5,CXCR4 neutrophil,Degranulation,0.0172400728850535,625,full_gene
Donor3,CF,MX1/ISG neutrophil,Degranulation,0.069655627119798,251,full_gene
Donor3,NA5,MX1/ISG neutrophil,Degranulation,0.0660575430058871,266,full_gene
Donor4,NA5,MX1/ISG neutrophil,Degranulation,0.0516805168575115,146,full_gene
Donor4,CF,PADI4 neutrophil,Degranulation,0.526260793017493,58,full_gene
Donor6,CF,MX1/ISG neutrophil,Degranulation,0.0837917874073356,74,full_gene
Donor4,NA5,PADI4 neutrophil,Degranulation,0.502554004402586,23,full_gene
Donor3,NA5,PADI4 neutrophil,Degranulation,0.507746968090184,57,full_gene
Donor6,CF,PADI4 neutrophil,Degranulation,1.18638386552029,19,full_gene
Donor1,NA5,CXCR4 neutrophil,Degranulation,0.0642564614543829,47,full_gene
Donor1,CF,PADI4 neutrophil,Degranulation,1.57710990171312,35,full_gene
Donor5,CF,OSM neutrophil,Degranulation,0.18384602671271,5,full_gene
