"PatientID","condition","biopsy_id","neut_state","cell","OSM","CXCR4","PADI4","MX1","IL1B","CXCL8","NFKBIA","CXCR2","FPR1","ITGAM","ICAM1","CD44","BCL2A1","MMP9","ELANE","LTF","CYBB","NCF2","RAC2","ISG15","IFIT3","IFI6"
"P032","Inflamed UC","P032__Inflamed UC","Neutrophil OSM","SAM24417581_251875",0,0,0,0,4.31130044127483,4.37874876431074,3.6629331974938,0,3.25976920338248,0,0,3.6629331974938,3.6629331974938,0,0,0,0,0,3.6629331974938,0,0,0
"P032","Inflamed UC","P032__Inflamed UC","Neutrophil MX1","SAM24417581_730703",3.17637995384508,0,0,0,0,4.49244006431659,3.58393396571141,0,3.58393396571141,0,0,3.58393396571141,3.78972010380752,0,0,0,3.17637995384508,0,0,0,0,0
"P032","Inflamed UC","P032__Inflamed UC","Neutrophil OSM","SAM24417581_810575",0,0,0,0,3.58329919586414,4.09542744653195,4.0212261822528,0,3.17181846429307,0,3.17181846429307,3.79126616889084,3.58329919586414,0,0,0,0,3.17181846429307,3.58329919586414,0,0,0
"P032","Inflamed UC","P032__Inflamed UC","Neutrophil CXCR4","SAM24417581_843600",0,0,0,0,3.61852950906179,4.52531790127057,3.93479437295917,0,2.97852846919841,0,2.97852846919841,3.61852950906179,4.04864988523001,0,0,0,0,3.4027754485206,2.97852846919841,0,0,0
"P032","Inflamed UC","P032__Inflamed UC","Neutrophil OSM","SAM24417581_79589",3.31732774103945,0,0,0,0,4.21660696463332,4.09438650453261,3.31732774103945,0,0,0,3.31732774103945,3.31732774103945,0,0,0,0,0,3.31732774103945,0,0,0
"P032","Inflamed UC","P032__Inflamed UC","Neutrophil PADI4","SAM24417581_87474",0,0,0,0,0,3.90923153135061,3.54743635414784,0,4.09002027518199,0,0,0,0,0,0,0,0,0,0,0,0,0
"P032","Inflamed UC","P032__Inflamed UC","Neutrophil CXCR4","SAM24417581_158368",0,0,0,0,4.07898346265637,4.60573178652542,3.96609256200256,0,3.65249365498932,0,0,0,3.65249365498932,0,0,0,0,3.65249365498932,0,0,3.01694840121589,0
"P032","Inflamed UC","P032__Inflamed UC","Neutrophil OSM","SAM24417581_166497",0,0,3.38045645687544,0,3.38045645687544,4.38350852492632,3.38045645687544,0,3.38045645687544,0,0,3.76607484153538,3.95955762459275,0,0,0,0,3.38045645687544,3.38045645687544,0,0,0
"P032","Inflamed UC","P032__Inflamed UC","Neutrophil CXCR4","SAM24417581_206879",0,3.5215242428395,0,0,0,4.50330022834495,4.0698555455,0,0,0,3.5215242428395,3.88709033268522,4.18712433596658,0,0,0,0,3.5215242428395,3.5215242428395,0,0,0
"P032","Inflamed UC","P032__Inflamed UC","Neutrophil CXCR4","SAM24417581_258704",0,3.44383335491139,0,0,3.78108059778164,4.3039531620367,3.64909577765384,0,3.44383335491139,0,3.03794182157133,3.44383335491139,3.64909577765384,0,0,0,3.03794182157133,3.44383335491139,0,0,0,0
"P032","Inflamed UC","P032__Inflamed UC","Neutrophil PADI4","SAM24417581_566437",0,0,0,0,3.63119673025659,0,0,0,3.82986954461461,0,3.23642237590962,3.23642237590962,3.23642237590962,3.63119673025659,0,0,0,0,0,0,0,0
"P032","Inflamed UC","P032__Inflamed UC","Neutrophil OSM","SAM24417581_651608",0,0,0,0,4.12906904951842,4.25834813316824,3.43428758073645,0,3.79153150379666,0,3.00713674791798,3.79153150379666,3.65159089488843,3.65159089488843,0,0,0,3.00713674791798,3.43428758073645,0,0,0
"P032","Inflamed UC","P032__Inflamed UC","Neutrophil PADI4","SAM24417581_659353",0,0,0,0,3.66462930231368,4.48030919398576,3.44802403298449,0,3.02200183816758,3.02200183816758,0,3.02200183816758,3.44802403298449,0,0,0,3.02200183816758,3.02200183816758,3.02200183816758,0,0,0
"P032","Inflamed UC","P032__Inflamed UC","Neutrophil PADI4","SAM24417581_838292",0,0,0,0,3.08084245915507,0,0,3.08084245915507,3.83701286521701,3.08084245915507,3.49365740757421,3.83701286521701,3.49365740757421,3.70262848510323,0,0,0,3.08084245915507,3.08084245915507,0,0,0
"P032","Inflamed UC","P032__Inflamed UC","Neutrophil OSM","SAM24417581_73706",3.268315851932,0,0,0,3.268315851932,3.85820146523257,3.6608208079027,3.268315851932,3.268315851932,0,0,3.6608208079027,3.6608208079027,0,0,0,0,0,3.268315851932,0,0,0
"P032","Inflamed UC","P032__Inflamed UC","Neutrophil OSM","SAM24417581_99551",0,3.54496771693781,0,0,3.91511782058564,4.10022714424007,4.10022714424007,3.54496771693781,0,0,0,3.54496771693781,4.30456712066889,0,0,0,0,3.54496771693781,3.91511782058564,0,0,0
"P032","Inflamed UC","P032__Inflamed UC","Neutrophil PADI4","SAM24417581_167769",0,0,0,0,0,3.41153633960815,2.98726969223258,0,0,0,0,2.98726969223258,2.98726969223258,3.86631562226545,0,0,0,2.98726969223258,2.98726969223258,0,0,0
"P032","Inflamed UC","P032__Inflamed UC","Neutrophil PADI4","SAM24417581_182954",2.95775409497211,0,0,0,3.38161203555924,2.95775409497211,3.73608292457714,0,3.59722318562542,3.38161203555924,0,0,3.38161203555924,2.95775409497211,0,0,0,0,3.59722318562542,0,0,0
"P032","Inflamed UC","P032__Inflamed UC","Neutrophil MX1","SAM24417581_290359",0,0,0,0,3.70358833217644,3.09175143130102,3.70358833217644,3.70358833217644,3.49818582937683,0,0,3.49818582937683,3.70358833217644,0,0,0,3.09175143130102,0,3.70358833217644,0,0,0
"P032","Inflamed UC","P032__Inflamed UC","Neutrophil CXCR4","SAM24417581_380092",0,3.00684317375457,0,0,0,3.63680950062542,3.00684317375457,0,3.77328170710533,0,3.00684317375457,3.00684317375457,3.00684317375457,0,0,0,0,3.00684317375457,3.63680950062542,0,0,0
"P032","Inflamed UC","P032__Inflamed UC","Neutrophil lowRNA","SAM24417581_390493",0,0,0,0,3.86390398986313,4.3105691073692,3.86390398986313,0,3.110385954902,0,0,0,3.52190667745983,0,0,0,0,0,3.52190667745983,3.110385954902,0,0
"P032","Inflamed UC","P032__Inflamed UC","Neutrophil PADI4","SAM24417581_449564",0,0,0,0,0,3.07600677502393,3.49342712889615,3.70498723735048,3.70498723735048,0,0,0,3.49342712889615,3.07600677502393,0,0,0,3.84107698380915,0,0,0,0
"P032","Inflamed UC","P032__Inflamed UC","Neutrophil CXCR4","SAM24417581_596947",0,0,0,0,4.12215874528427,4.34564366902015,3.52907535171347,0,3.74457675729175,0,3.10449945690628,3.10449945690628,3.74457675729175,0,0,0,3.52907535171347,3.52907535171347,3.10449945690628,0,0,0
