compartment,sample,group,marker,channel,n,median,mean,q25,q75,negative_percent,raw_reconstructed_median,role
neutrophil,FC4,FC,Ly6G,V610-A,72,10336.196170535775,16431.112883153124,7250.343865958443,25588.44186389637,0.0,9975.541015624996,lineage diagnostic
neutrophil,FC4,FC,F4/80,R670-A,72,-2209.598565201169,-3035.913779088536,-5263.254820860276,-77.66582335315479,76.38888888888889,6119.93701171875,lineage diagnostic
neutrophil,FC5,FC,CXCR4,U820-A,214,1685.3338244193587,3454.0961216470505,815.382813901314,3131.591974675452,11.682242990654206,4197.05712890625,phenotype
neutrophil,FC5,FC,OSM,B515-A,214,9253.647265895888,5275.298165593894,-3663.106693396024,16814.348976540678,29.4392523364486,14048.680664062496,phenotype
neutrophil,FC5,FC,PADI4,R710-A,214,3930.272584248265,7094.784755986939,754.4171321686405,9909.145988149525,19.15887850467289,10873.188964843755,phenotype
neutrophil,FC5,FC,MX1,Y670-A,214,8185.347054034759,10215.168557627716,4560.131991809606,12837.650632993538,3.738317757009345,12204.869140625,phenotype
neutrophil,FC5,FC,NAMPT,R780-A,214,597.8604317502777,679.4014577843093,288.155662078568,1003.7946148408324,8.878504672897195,2445.1553955078125,phenotype
neutrophil,FC5,FC,CD177,Y586-A,214,-11468.328491994338,-13703.235445458113,-17299.37255861536,-7335.423109388534,98.5981308411215,9668.624511718748,phenotype
neutrophil,FC5,FC,CD45,V710-A,214,14078.359484169754,28341.10968466214,8920.116501498978,31991.385179421144,0.0,21166.3681640625,lineage diagnostic
neutrophil,FC5,FC,CD11b,U670-A,214,9785.892618737067,12666.017517079412,7284.97080249341,14559.289897416296,0.0,13561.01806640625,lineage diagnostic
neutrophil,FC5,FC,Ly6G,V610-A,214,23130.82767685502,28747.089540381585,15539.456905184745,34258.141335416985,0.0,23582.8994140625,lineage diagnostic
neutrophil,FC5,FC,F4/80,R670-A,214,-2594.7943545274925,-3043.6968395332046,-5831.300208894944,-82.33088282621576,75.70093457943925,9305.5595703125,lineage diagnostic
neutrophil,FC6,FC,CXCR4,U820-A,155,1202.089105352764,4000.672438163895,191.04565001071404,4007.4875728965535,19.35483870967742,4826.04638671875,phenotype
neutrophil,FC6,FC,OSM,B515-A,155,-4567.662556273732,-8815.115769382815,-15160.468491663383,5698.41534106517,63.2258064516129,3788.915527343751,phenotype
neutrophil,FC6,FC,PADI4,R710-A,155,4954.3461362326325,7311.556999123372,-378.5254745363736,10865.91450350555,25.806451612903224,18452.84375,phenotype
neutrophil,FC6,FC,MX1,Y670-A,155,2236.479019001492,3936.824891963394,-5261.901848682207,8834.596679820535,43.87096774193549,9543.267578125,phenotype
neutrophil,FC6,FC,NAMPT,R780-A,155,67.5356792654972,358.06481240827827,-318.88553686165915,592.5263631115658,46.45161290322581,2683.4677734375,phenotype
neutrophil,FC6,FC,CD177,Y586-A,155,-9968.617661124004,-11758.850565572697,-16207.840322860766,-5009.292099812292,92.90322580645162,8095.747070312501,phenotype
neutrophil,FC6,FC,CD45,V710-A,155,20008.879827429497,33406.514118020394,9213.85612740482,45575.81068831321,0.0,27277.2578125,lineage diagnostic
neutrophil,FC6,FC,CD11b,U670-A,155,11108.210209555118,17586.77065971028,6590.9234798087655,20850.71690192668,0.0,15019.048828125,lineage diagnostic
neutrophil,FC6,FC,Ly6G,V610-A,155,12702.194437383638,20991.735543488976,7022.083043375045,25466.866052910173,0.0,18948.45898437501,lineage diagnostic
neutrophil,FC6,FC,F4/80,R670-A,155,-187.75986268475296,-756.4278939392145,-3175.7691712231817,2348.530865468092,50.967741935483865,12677.190429687498,lineage diagnostic
neutrophil,FG1,FG,CXCR4,U820-A,129,397.8816919941415,930.9012920342294,-190.6409821758344,1498.081300991566,34.88372093023256,4238.202636718753,phenotype
neutrophil,FG1,FG,OSM,B515-A,129,-13529.230727697266,-16801.05599047238,-24445.00033047535,-1041.7576857340534,77.51937984496125,4581.978027343749,phenotype
