metric,marker,role,reference,comparison,n_reference,n_comparison,median_reference,median_comparison,difference_group_medians,hodges_lehmann_shift,U_comparison,rank_biserial,p_exact,allocations,ties,contrast_context,q_BH_60
mean,MX1,phenotype,FD,FC,5,6,-4827.64594650937,4713.96442071241,9541.61036722178,10123.234874565966,28.0,0.8666666666666667,0.017316017316017316,462,False,cross-context; preparation day and design confounding,0.051948051948051945
mean,MX1,phenotype,FD,FG,5,6,-4827.64594650937,1172.8071749335033,6000.453121442873,6462.767730735657,25.0,0.6666666666666667,0.08225108225108226,462,False,cross-context; preparation day and design confounding,0.17017465293327363
mean,MX1,phenotype,FC,FG,6,6,4713.96442071241,1172.8071749335033,-3541.157245778907,-3600.1041464398054,7.0,-0.6111111111111112,0.09307359307359307,924,False,within recorded context,0.18614718614718614
mean,PADI4,phenotype,WD,FD,6,5,1190.0229049288043,2156.197894707675,966.1749897788707,1793.5636939972237,23.0,0.5333333333333334,0.1774891774891775,462,False,within recorded context,0.2994227994227994
mean,PADI4,phenotype,WD,FC,6,6,1190.0229049288043,6970.39788991591,5780.374984987106,5989.9294115672,36.0,1.0,0.0021645021645021645,924,False,cross-context; preparation day and design confounding,0.016233766233766232
mean,PADI4,phenotype,WD,FG,6,6,1190.0229049288043,9720.8658384814,8530.842933552596,9111.424217771651,36.0,1.0,0.0021645021645021645,924,False,cross-context; preparation day and design confounding,0.016233766233766232
mean,PADI4,phenotype,FD,FC,5,6,2156.197894707675,6970.39788991591,4814.199995208235,4439.687376344114,30.0,1.0,0.004329004329004329,462,False,cross-context; preparation day and design confounding,0.016233766233766232
mean,PADI4,phenotype,FD,FG,5,6,2156.197894707675,9720.8658384814,7564.667943773726,7173.414408323399,30.0,1.0,0.004329004329004329,462,False,cross-context; preparation day and design confounding,0.016233766233766232
mean,PADI4,phenotype,FC,FG,6,6,6970.39788991591,9720.8658384814,2750.4679485654906,2528.132605791601,24.0,0.33333333333333326,0.3939393939393939,924,False,within recorded context,0.5496828752642706
mean,NAMPT,phenotype,WD,FD,6,5,-47.139818242145914,-46.81806392237807,0.32175431976784097,39.127921890471534,17.0,0.1333333333333333,0.7922077922077922,462,False,within recorded context,0.8802308802308803
mean,NAMPT,phenotype,WD,FC,6,6,-47.139818242145914,362.5437097531427,409.6835279952886,399.0559642251104,31.0,0.7222222222222223,0.04112554112554113,924,False,cross-context; preparation day and design confounding,0.0987012987012987
mean,NAMPT,phenotype,WD,FG,6,6,-47.139818242145914,-81.62678952489499,-34.486971282749074,14.834328165412686,18.0,0.0,1.0,924,False,cross-context; preparation day and design confounding,1.0
mean,NAMPT,phenotype,FD,FC,5,6,-46.81806392237807,362.5437097531427,409.3617736755208,333.713455560306,23.0,0.5333333333333334,0.1774891774891775,462,False,cross-context; preparation day and design confounding,0.2994227994227994
mean,NAMPT,phenotype,FD,FG,5,6,-46.81806392237807,-81.62678952489499,-34.808725602516915,-100.68907336249264,12.0,-0.19999999999999996,0.6623376623376623,462,False,cross-context; preparation day and design confounding,0.8110257089848926
mean,NAMPT,phenotype,FC,FG,6,6,362.5437097531427,-81.62678952489499,-444.1704992780377,-366.06642008842687,5.0,-0.7222222222222222,0.04112554112554113,924,False,within recorded context,0.0987012987012987
mean,CD177,phenotype,WD,FD,6,5,-3774.113458158974,-1298.2141064898262,2475.899351669148,1715.1735798771867,19.0,0.2666666666666666,0.5367965367965368,462,False,within recorded context,0.7001693958215698
mean,CD177,phenotype,WD,FC,6,6,-3774.113458158974,-11367.193703868368,-7593.080245709394,-7658.970348679688,5.0,-0.7222222222222222,0.04112554112554113,924,False,cross-context; preparation day and design confounding,0.0987012987012987
mean,CD177,phenotype,WD,FG,6,6,-3774.113458158974,-16240.671389791774,-12466.5579316328,-13032.263956060066,2.0,-0.8888888888888888,0.008658008658008658,924,False,cross-context; preparation day and design confounding,0.028860028860028857
mean,CD177,phenotype,FD,FC,5,6,-1298.2141064898262,-11367.193703868368,-10068.979597378542,-9808.900986331631,0.0,-1.0,0.004329004329004329,462,False,cross-context; preparation day and design confounding,0.016233766233766232
mean,CD177,phenotype,FD,FG,5,6,-1298.2141064898262,-16240.671389791774,-14942.457283301948,-13855.585762992061,0.0,-1.0,0.004329004329004329,462,False,cross-context; preparation day and design confounding,0.016233766233766232
mean,CD177,phenotype,FC,FG,6,6,-11367.193703868368,-16240.671389791774,-4873.477685923406,-4750.901594913249,4.0,-0.7777777777777778,0.025974025974025976,924,False,within recorded context,0.07083825265643448
mean,CD11b,gate-conditioned lineage diagnostic,WD,FD,6,5,26026.9036470585,25001.42242243804,-1025.4812246204601,-176.82058451253215,15.0,0.0,1.0,462,False,within recorded context,1.0
mean,CD11b,gate-conditioned lineage diagnostic,WD,FC,6,6,26026.9036470585,11638.791897243733,-14388.111749814769,-16588.78140272409,1.0,-0.9444444444444444,0.004329004329004329,924,False,cross-context; preparation day and design confounding,0.016233766233766232
mean,CD11b,gate-conditioned lineage diagnostic,WD,FG,6,6,26026.9036470585,28923.206150154176,2896.302503095674,3799.722698609863,19.0,0.05555555555555558,0.9372294372294372,924,False,cross-context; preparation day and design confounding,0.986557302346776
mean,CD11b,gate-conditioned lineage diagnostic,FD,FC,5,6,25001.42242243804,11638.791897243733,-13362.630525194309,-15275.908002309843,1.0,-0.9333333333333333,0.008658008658008658,462,False,cross-context; preparation day and design confounding,0.028860028860028857
mean,CD11b,gate-conditioned lineage diagnostic,FD,FG,5,6,25001.42242243804,28923.206150154176,3921.7837277161343,3643.819222022981,17.0,0.1333333333333333,0.7922077922077922,462,False,cross-context; preparation day and design confounding,0.8802308802308803
mean,CD11b,gate-conditioned lineage diagnostic,FC,FG,6,6,11638.791897243733,28923.206150154176,17284.414252910443,17816.669020225992,36.0,1.0,0.0021645021645021645,924,False,within recorded context,0.016233766233766232
mean,CD45,gate-conditioned lineage diagnostic,WD,FD,6,5,20218.465172087548,18064.938558939142,-2153.526613148406,-1711.3050550336393,9.0,-0.4,0.329004329004329,462,False,within recorded context,0.5061605061605062
mean,CD45,gate-conditioned lineage diagnostic,WD,FC,6,6,20218.465172087548,31302.377667402718,11083.91249531517,12029.15660406321,36.0,1.0,0.0021645021645021645,924,False,cross-context; preparation day and design confounding,0.016233766233766232
mean,CD45,gate-conditioned lineage diagnostic,WD,FG,6,6,20218.465172087548,22424.11736234485,2205.6521902573004,1446.2308088400978,21.0,0.16666666666666674,0.6991341991341992,924,False,cross-context; preparation day and design confounding,0.8389610389610389
mean,CD45,gate-conditioned lineage diagnostic,FD,FC,5,6,18064.938558939142,31302.377667402718,13237.439108463575,13062.733684864488,30.0,1.0,0.004329004329004329,462,False,cross-context; preparation day and design confounding,0.016233766233766232
mean,CD45,gate-conditioned lineage diagnostic,FD,FG,5,6,18064.938558939142,22424.11736234485,4359.178803405706,2125.8563120167837,21.0,0.3999999999999999,0.329004329004329,462,False,cross-context; preparation day and design confounding,0.5061605061605062
mean,CD45,gate-conditioned lineage diagnostic,FC,FG,6,6,31302.377667402718,22424.11736234485,-8878.26030505787,-10798.502191762103,0.0,-1.0,0.0021645021645021645,924,False,within recorded context,0.016233766233766232
