direction,interaction,sender,receiver,ligand,receptor,lr_interaction,id,prioritization_score_Control,prioritization_score_DSS,fraction_expressing_ligand_receptor_Control,fraction_expressing_ligand_receptor_DSS,comparison,comparator,score_DSS,score_comparator,fraction_DSS,fraction_comparator,score_delta,effect,abs_delta,rank_by_direction_effect,prioritization_score_Blockade,fraction_expressing_ligand_receptor_Blockade,ambient_epithelial_flag,display_order,contrast_label
Neutrophil -> Fibroblast,Osm - Il6st,Neutrophil,Fibroblast,Osm,Il6st,Osm_Il6st,Osm_Il6st_Neutrophil_Fibroblast,0.670835623165905,0.769217854026901,1,0.833333333333333,DSS_vs_Control,Control,0.769217854026901,0.670835623165905,0.833333333333333,1,0.0983822308609959,Higher in DSS,0.0983822308609959,192,,,FALSE,10,DSS effect
Neutrophil -> Fibroblast,Osm - Il6st,Neutrophil,Fibroblast,Osm,Il6st,Osm_Il6st,Osm_Il6st_Neutrophil_Fibroblast,,0.822014218055676,,0.833333333333333,DSS_vs_Blockade,Blockade,0.822014218055676,0.487904349462545,0.833333333333333,0.666666666666667,0.334109868593131,Higher in DSS,0.334109868593131,197,0.487904349462545,0.666666666666667,FALSE,10,a5B1 blockade
Neutrophil -> Fibroblast,Osm - Osmr,Neutrophil,Fibroblast,Osm,Osmr,Osm_Osmr,Osm_Osmr_Neutrophil_Fibroblast,0.632891768621855,0.78747576425501,1,0.833333333333333,DSS_vs_Control,Control,0.78747576425501,0.632891768621855,0.833333333333333,1,0.154583995633155,Higher in DSS,0.154583995633155,173,,,FALSE,9,DSS effect
Neutrophil -> Fibroblast,Osm - Osmr,Neutrophil,Fibroblast,Osm,Osmr,Osm_Osmr,Osm_Osmr_Neutrophil_Fibroblast,,0.829347551389009,,0.833333333333333,DSS_vs_Blockade,Blockade,0.829347551389009,0.332870450219827,0.833333333333333,0,0.496477101169182,Higher in DSS,0.496477101169182,93,0.332870450219827,0,FALSE,9,a5B1 blockade
Neutrophil -> Fibroblast,S100a9 - Alcam,Neutrophil,Fibroblast,S100a9,Alcam,S100a9_Alcam,S100a9_Alcam_Neutrophil_Fibroblast,0.492027236837613,0.767878150760414,1,0.833333333333333,DSS_vs_Control,Control,0.767878150760414,0.492027236837613,0.833333333333333,1,0.2758509139228,Higher in DSS,0.2758509139228,116,,,FALSE,15,DSS effect
Neutrophil -> Fibroblast,S100a9 - Alcam,Neutrophil,Fibroblast,S100a9,Alcam,S100a9_Alcam,S100a9_Alcam_Neutrophil_Fibroblast,,0.796819288851951,,0.833333333333333,DSS_vs_Blockade,Blockade,0.796819288851951,0.37832088070899,0.833333333333333,0.333333333333333,0.418498408142961,Higher in DSS,0.418498408142961,147,0.37832088070899,0.333333333333333,FALSE,15,a5B1 blockade
Neutrophil -> Fibroblast,Thbs1 - Itga4,Neutrophil,Fibroblast,Thbs1,Itga4,Thbs1_Itga4,Thbs1_Itga4_Neutrophil_Fibroblast,0.145727268113952,0.930547969392368,0,1,DSS_vs_Control,Control,0.930547969392368,0.145727268113952,1,0,0.784820701278416,Higher in DSS,0.784820701278416,2,,,FALSE,14,DSS effect
Neutrophil -> Fibroblast,Thbs1 - Itga4,Neutrophil,Fibroblast,Thbs1,Itga4,Thbs1_Itga4,Thbs1_Itga4_Neutrophil_Fibroblast,,0.849542009205507,,1,DSS_vs_Blockade,Blockade,0.849542009205507,0.233687406737517,1,0.333333333333333,0.61585460246799,Higher in DSS,0.61585460246799,24,0.233687406737517,0.333333333333333,FALSE,14,a5B1 blockade
Neutrophil -> Fibroblast,Vegfa - Nrp1,Neutrophil,Fibroblast,Vegfa,Nrp1,Vegfa_Nrp1,Vegfa_Nrp1_Neutrophil_Fibroblast,0.388513119211479,0.735586558510636,0.333333333333333,0.833333333333333,DSS_vs_Control,Control,0.735586558510636,0.388513119211479,0.833333333333333,0.333333333333333,0.347073439299156,Higher in DSS,0.347073439299156,77,,,FALSE,12,DSS effect
Neutrophil -> Fibroblast,Vegfa - Nrp1,Neutrophil,Fibroblast,Vegfa,Nrp1,Vegfa_Nrp1,Vegfa_Nrp1_Neutrophil_Fibroblast,,0.860796828061382,,0.833333333333333,DSS_vs_Blockade,Blockade,0.860796828061382,0.110194822998421,0.833333333333333,0,0.750602005062961,Higher in DSS,0.750602005062961,3,0.110194822998421,0,FALSE,12,a5B1 blockade
