p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
3.12043651760153e-49,2.38395801668515,0.129,0.018,1.06937359458205e-45,5,GNLY
5.73248957357693e-49,3.84214676318441,0.102,0.004,1.96452417686481e-45,5,KLRB1
7.15804374344102e-49,1.20027057184641,0.173,0.044,2.45306159087724e-45,5,LDHA
1.83075348301403e-48,2.2993339408604,0.11,0.009,6.27399218628908e-45,5,NDUFS5
2.43301161247121e-48,1.16628488701262,0.122,0.018,8.33793079593884e-45,5,PLAC8
4.13162990259257e-48,1.37231405619099,0.126,0.021,1.41590956761847e-44,5,ENSG00000262202
5.22729160407711e-48,1.52852576171032,0.114,0.014,1.79139283271723e-44,5,BUB3
9.53542559491429e-48,0.688084466044534,0.491,0.319,3.26779035137713e-44,5,CFL1
1.56790160776696e-47,0.36351320651957,0.179,0.046,5.37319880981736e-44,5,SLC38A1
2.07423110198949e-47,0.541247715388221,0.131,0.023,7.108389986518e-44,5,XIST
2.34353224107607e-47,0.725986174143816,0.12,0.017,8.03128499016768e-44,5,ITGA4
2.55850470903191e-47,0.637891005254828,0.401,0.204,8.76799563785235e-44,5,ARHGDIB
8.77226323064522e-47,1.26635462887876,0.118,0.028,3.00625460914212e-43,5,TES
1.01087276636425e-46,1.65554724398588,0.104,0.011,3.4642609703303e-43,5,SVIP
5.58401510290191e-46,0.706079261541678,0.206,0.067,1.91364197576448e-42,5,C4orf3
1.7002102886988e-45,2.12884451749744,0.12,0.012,5.82662065937079e-42,5,SSBP1
1.49675975522133e-44,1.5026387796465,0.105,0.015,5.1293956811435e-41,5,DUT
2.40238901778832e-44,0.87289584099065,0.103,0.012,8.23298716396057e-41,5,NOP58
5.92330189081712e-44,0.647798863533154,0.14,0.029,2.02991555798303e-40,5,KTN1
1.62338294468294e-43,1.81016250896173,0.104,0.009,5.56333335142845e-40,5,SSB
1.06518617936673e-42,0.516926440256236,0.139,0.032,3.6503930366898e-39,5,TNFAIP8
