scope,state,program,group,n_DSS,n_treatment,effect,low,high,p,q
Level 3,Mature absorptive colonocyte,Mucus / secretory,alpha5beta1 blockade,6,12,3.939592970456326,2.946873597086099,4.914540033518238,0.00010773540185304891,0.003232062055591467
Level 3,Mature absorptive colonocyte,Injury-associated regeneration,FAP ablation,6,4,-1.4219457463115432,-2.021060848151791,-0.6558797209700353,0.11428571428571428,0.15584415584415584
Level 3,Mature absorptive colonocyte,Injury-associated regeneration,alpha5beta1 blockade,6,12,-0.6463803445911953,-1.2697400912778223,0.12940812786475317,0.03199741435035553,0.053329023917259216
Level 3,Mature absorptive colonocyte,Absorptive differentiation,FAP ablation,6,4,0.40661528159620186,-0.652516271660474,1.291479932031187,0.47619047619047616,0.5291005291005291
Level 3,Mature absorptive colonocyte,Absorptive differentiation,alpha5beta1 blockade,6,12,-1.0517086111658598,-1.6137158836099437,-0.49365897262516495,0.003232062055591467,0.021645021645021644
Level 3,IFN/MHC-II-responsive epithelial,Inflammatory chemokines,FAP ablation,6,4,-4.299401192393683,-4.699993132624626,-3.986213739650281,0.009523809523809525,0.02380952380952381
Level 3,IFN/MHC-II-responsive epithelial,Inflammatory chemokines,alpha5beta1 blockade,6,5,-2.287135794201602,-2.8533228127591754,-1.7130277143115906,0.004329004329004329,0.021645021645021644
Level 3,IFN/MHC-II-responsive epithelial,Interferon response,FAP ablation,6,4,-0.9843020218575367,-1.5475414758492452,-0.23258211871011572,0.06666666666666667,0.1
Level 3,IFN/MHC-II-responsive epithelial,Interferon response,alpha5beta1 blockade,6,5,-0.9403266019221466,-1.6066421532501614,-0.3060466984805802,0.030303030303030304,0.053329023917259216
Level 3,IFN/MHC-II-responsive epithelial,Barrier / junctions,FAP ablation,6,4,-0.9000172456759792,-1.8303299817743823,0.02583389295932274,0.2571428571428571,0.30857142857142855
Level 3,IFN/MHC-II-responsive epithelial,Barrier / junctions,alpha5beta1 blockade,6,5,0.14426841922718836,-0.3683467878162326,0.6178748064456531,0.6623376623376623,0.6851768920734438
Level 3,IFN/MHC-II-responsive epithelial,Mucus / secretory,FAP ablation,6,4,1.341263334413096,1.0649475128393,1.5953967349076676,0.009523809523809525,0.02380952380952381
Level 3,IFN/MHC-II-responsive epithelial,Mucus / secretory,alpha5beta1 blockade,6,5,3.260426289942556,2.971298892964209,3.551438552932815,0.004329004329004329,0.021645021645021644
Level 3,IFN/MHC-II-responsive epithelial,Injury-associated regeneration,FAP ablation,6,4,-0.9579892732374944,-1.4494426976326735,-0.49040770114558985,0.009523809523809525,0.02380952380952381
Level 3,IFN/MHC-II-responsive epithelial,Injury-associated regeneration,alpha5beta1 blockade,6,5,-0.06514819187260024,-0.3148156302996418,0.1833456935479939,0.6623376623376623,0.6851768920734438
Level 3,IFN/MHC-II-responsive epithelial,Absorptive differentiation,FAP ablation,6,4,-0.24636908311116557,-0.6747085844173004,0.3020464040679415,0.2571428571428571,0.30857142857142855
Level 3,IFN/MHC-II-responsive epithelial,Absorptive differentiation,alpha5beta1 blockade,6,5,-0.8412681221353759,-1.281714155319466,-0.4859988931934626,0.004329004329004329,0.021645021645021644
