key,sample_uid,group,scope,state,n_cells,program,score
All epithelial___All epithelial___FAPTK__D6,FAPTK__D6,DSS,All epithelial,All epithelial,1051,Mucus / secretory,6.4100292954884
All epithelial___All epithelial___FAPTK__D6,FAPTK__D6,DSS,All epithelial,All epithelial,1051,Injury-associated regeneration,5.659754876900925
All epithelial___All epithelial___FAPTK__D6,FAPTK__D6,DSS,All epithelial,All epithelial,1051,Absorptive differentiation,6.645851284760606
All epithelial___All epithelial___FAPTK__D5,FAPTK__D5,DSS,All epithelial,All epithelial,739,Inflammatory chemokines,5.233284070558304
All epithelial___All epithelial___FAPTK__D5,FAPTK__D5,DSS,All epithelial,All epithelial,739,Interferon response,2.5079083595037064
All epithelial___All epithelial___FAPTK__D5,FAPTK__D5,DSS,All epithelial,All epithelial,739,Barrier / junctions,6.819930455626814
All epithelial___All epithelial___FAPTK__D5,FAPTK__D5,DSS,All epithelial,All epithelial,739,Mucus / secretory,8.203847119023587
All epithelial___All epithelial___FAPTK__D5,FAPTK__D5,DSS,All epithelial,All epithelial,739,Injury-associated regeneration,6.464793962985207
All epithelial___All epithelial___FAPTK__D5,FAPTK__D5,DSS,All epithelial,All epithelial,739,Absorptive differentiation,6.925416261239171
All epithelial___All epithelial___FAPTK__FD3,FAPTK__FD3,FAP ablation,All epithelial,All epithelial,6165,Inflammatory chemokines,1.090790147612207
All epithelial___All epithelial___FAPTK__FD3,FAPTK__FD3,FAP ablation,All epithelial,All epithelial,6165,Interferon response,2.206344781829654
All epithelial___All epithelial___FAPTK__FD3,FAPTK__FD3,FAP ablation,All epithelial,All epithelial,6165,Barrier / junctions,6.459214621689825
All epithelial___All epithelial___FAPTK__FD3,FAPTK__FD3,FAP ablation,All epithelial,All epithelial,6165,Mucus / secretory,8.05596812741148
All epithelial___All epithelial___FAPTK__FD3,FAPTK__FD3,FAP ablation,All epithelial,All epithelial,6165,Injury-associated regeneration,4.733540288347385
All epithelial___All epithelial___FAPTK__FD3,FAPTK__FD3,FAP ablation,All epithelial,All epithelial,6165,Absorptive differentiation,7.107308886860876
All epithelial___All epithelial___FAPTK__FD4,FAPTK__FD4,FAP ablation,All epithelial,All epithelial,4285,Inflammatory chemokines,1.1420084630878042
All epithelial___All epithelial___FAPTK__FD4,FAPTK__FD4,FAP ablation,All epithelial,All epithelial,4285,Interferon response,2.2753804810877307
All epithelial___All epithelial___FAPTK__FD4,FAPTK__FD4,FAP ablation,All epithelial,All epithelial,4285,Barrier / junctions,6.465725023424842
All epithelial___All epithelial___FAPTK__FD4,FAPTK__FD4,FAP ablation,All epithelial,All epithelial,4285,Mucus / secretory,8.375602414309602
All epithelial___All epithelial___FAPTK__FD4,FAPTK__FD4,FAP ablation,All epithelial,All epithelial,4285,Injury-associated regeneration,4.733274391354875
All epithelial___All epithelial___FAPTK__FD4,FAPTK__FD4,FAP ablation,All epithelial,All epithelial,4285,Absorptive differentiation,7.135857958680907
All epithelial___All epithelial___FAPTK__FD6,FAPTK__FD6,FAP ablation,All epithelial,All epithelial,285,Inflammatory chemokines,-0.6785605895864152
All epithelial___All epithelial___FAPTK__FD6,FAPTK__FD6,FAP ablation,All epithelial,All epithelial,285,Interferon response,0.8382565122801928
All epithelial___All epithelial___FAPTK__FD6,FAPTK__FD6,FAP ablation,All epithelial,All epithelial,285,Barrier / junctions,5.991333488264598
All epithelial___All epithelial___FAPTK__FD6,FAPTK__FD6,FAP ablation,All epithelial,All epithelial,285,Mucus / secretory,7.420585661413796
All epithelial___All epithelial___FAPTK__FD6,FAPTK__FD6,FAP ablation,All epithelial,All epithelial,285,Injury-associated regeneration,4.781484083549965
All epithelial___All epithelial___FAPTK__FD6,FAPTK__FD6,FAP ablation,All epithelial,All epithelial,285,Absorptive differentiation,6.936366203201767
All epithelial___All epithelial___FAPTK__FD2,FAPTK__FD2,FAP ablation,All epithelial,All epithelial,805,Inflammatory chemokines,-1.6447943652345416
All epithelial___All epithelial___FAPTK__FD2,FAPTK__FD2,FAP ablation,All epithelial,All epithelial,805,Interferon response,1.9952958448606988
All epithelial___All epithelial___FAPTK__FD2,FAPTK__FD2,FAP ablation,All epithelial,All epithelial,805,Barrier / junctions,6.485818955151347
All epithelial___All epithelial___FAPTK__FD2,FAPTK__FD2,FAP ablation,All epithelial,All epithelial,805,Mucus / secretory,7.596099500172183
All epithelial___All epithelial___FAPTK__FD2,FAPTK__FD2,FAP ablation,All epithelial,All epithelial,805,Injury-associated regeneration,4.4165799001760835
All epithelial___All epithelial___FAPTK__FD2,FAPTK__FD2,FAP ablation,All epithelial,All epithelial,805,Absorptive differentiation,7.2012069736416375
Level 2___Epithelial___Merged_a5B1__M16,Merged_a5B1__M16,alpha5beta1 blockade,Level 2,Epithelial,77703,Inflammatory chemokines,3.912464256150825
Level 2___Epithelial___Merged_a5B1__M16,Merged_a5B1__M16,alpha5beta1 blockade,Level 2,Epithelial,77703,Interferon response,2.2999802582842253
Level 2___Epithelial___Merged_a5B1__M16,Merged_a5B1__M16,alpha5beta1 blockade,Level 2,Epithelial,77703,Barrier / junctions,7.409155031600122
Level 2___Epithelial___Merged_a5B1__M16,Merged_a5B1__M16,alpha5beta1 blockade,Level 2,Epithelial,77703,Mucus / secretory,9.859720573243854
Level 2___Epithelial___Merged_a5B1__M16,Merged_a5B1__M16,alpha5beta1 blockade,Level 2,Epithelial,77703,Injury-associated regeneration,6.22275465045631
Level 2___Epithelial___Merged_a5B1__M16,Merged_a5B1__M16,alpha5beta1 blockade,Level 2,Epithelial,77703,Absorptive differentiation,5.432047947303937
Level 2___Epithelial___Merged_a5B1__M23,Merged_a5B1__M23,alpha5beta1 blockade,Level 2,Epithelial,91181,Inflammatory chemokines,2.1435834897327535
