"key","scope","state","sample_uid","n_cells"
"Level 3___Inflammatory Zg16+ secretory epithelial___Merged_a5B1__M24","Level 3","Inflammatory Zg16+ secretory epithelial","Merged_a5B1__M24",269
"Level 3___IFN/MHC-II-responsive epithelial___Merged_a5B1__M22","Level 3","IFN/MHC-II-responsive epithelial","Merged_a5B1__M22",16
"Level 3___Reg4+ deep-crypt secretory epithelial___Merged_a5B1__M19","Level 3","Reg4+ deep-crypt secretory epithelial","Merged_a5B1__M19",23
"Level 3___IFN/MHC-II-responsive epithelial___Merged_a5B1__M19","Level 3","IFN/MHC-II-responsive epithelial","Merged_a5B1__M19",33
"Level 3___Enteroendocrine-secretory transitional cell___Merged_a5B1__M18","Level 3","Enteroendocrine-secretory transitional cell","Merged_a5B1__M18",54
"Level 3___Reg4+ deep-crypt secretory epithelial___Merged_a5B1__M22","Level 3","Reg4+ deep-crypt secretory epithelial","Merged_a5B1__M22",29
"Level 3___Enteroendocrine-secretory transitional cell___Merged_a5B1__M21","Level 3","Enteroendocrine-secretory transitional cell","Merged_a5B1__M21",120
"Level 3___Enteroendocrine-secretory transitional cell___Merged_a5B1__M22","Level 3","Enteroendocrine-secretory transitional cell","Merged_a5B1__M22",161
"Level 3___Inflammatory Zg16+ secretory epithelial___Merged_a5B1__M14","Level 3","Inflammatory Zg16+ secretory epithelial","Merged_a5B1__M14",52
"Level 3___Inflammatory Zg16+ secretory epithelial___Merged_a5B1__M17","Level 3","Inflammatory Zg16+ secretory epithelial","Merged_a5B1__M17",44
"Level 3___Mature absorptive colonocyte___Merged_a5B1__M17","Level 3","Mature absorptive colonocyte","Merged_a5B1__M17",71
"Level 3___Reg4+ deep-crypt secretory epithelial___Merged_a5B1__M24","Level 3","Reg4+ deep-crypt secretory epithelial","Merged_a5B1__M24",25
"Level 3___Absorptive-secretory transitional epithelial___Merged_a5B1__M24","Level 3","Absorptive-secretory transitional epithelial","Merged_a5B1__M24",12
"Level 3___Enteroendocrine-secretory transitional cell___Merged_a5B1__M14","Level 3","Enteroendocrine-secretory transitional cell","Merged_a5B1__M14",21
"Level 3___Enteroendocrine cell___Merged_a5B1__M15","Level 3","Enteroendocrine cell","Merged_a5B1__M15",7
"Level 3___Absorptive-secretory transitional epithelial___Merged_a5B1__M15","Level 3","Absorptive-secretory transitional epithelial","Merged_a5B1__M15",5
"Level 3___Enteroendocrine-secretory transitional cell___Merged_a5B1__M13","Level 3","Enteroendocrine-secretory transitional cell","Merged_a5B1__M13",18
"Level 3___Reg4+ deep-crypt secretory epithelial___Merged_a5B1__M13","Level 3","Reg4+ deep-crypt secretory epithelial","Merged_a5B1__M13",4
"Level 3___IFN/MHC-II-responsive epithelial___Merged_a5B1__M20","Level 3","IFN/MHC-II-responsive epithelial","Merged_a5B1__M20",18
"Level 3___IFN/MHC-II-responsive epithelial___Merged_a5B1__M24","Level 3","IFN/MHC-II-responsive epithelial","Merged_a5B1__M24",7
"Level 3___Absorptive-secretory transitional epithelial___Merged_a5B1__M16","Level 3","Absorptive-secretory transitional epithelial","Merged_a5B1__M16",54
"Level 3___Inflammatory Zg16+ secretory epithelial___Merged_a5B1__M13","Level 3","Inflammatory Zg16+ secretory epithelial","Merged_a5B1__M13",60
"Level 3___IFN/MHC-II-responsive epithelial___Merged_a5B1__M18","Level 3","IFN/MHC-II-responsive epithelial","Merged_a5B1__M18",24
"Level 3___IFN/MHC-II-responsive epithelial___Merged_a5B1__M17","Level 3","IFN/MHC-II-responsive epithelial","Merged_a5B1__M17",6
"Level 3___Reg4+ deep-crypt secretory epithelial___Merged_a5B1__M15","Level 3","Reg4+ deep-crypt secretory epithelial","Merged_a5B1__M15",21
"Level 3___Enteroendocrine-secretory transitional cell___Merged_a5B1__M17","Level 3","Enteroendocrine-secretory transitional cell","Merged_a5B1__M17",11
"Level 3___IFN/MHC-II-responsive epithelial___Merged_a5B1__M21","Level 3","IFN/MHC-II-responsive epithelial","Merged_a5B1__M21",10
"Level 3___Enteroendocrine cell___Merged_a5B1__M20","Level 3","Enteroendocrine cell","Merged_a5B1__M20",5
"Level 3___IFN/MHC-II-responsive epithelial___Merged_a5B1__M14","Level 3","IFN/MHC-II-responsive epithelial","Merged_a5B1__M14",11
"Level 3___Enteroendocrine cell___Merged_a5B1__M18","Level 3","Enteroendocrine cell","Merged_a5B1__M18",2
"Level 3___Absorptive-secretory transitional epithelial___Merged_a5B1__M18","Level 3","Absorptive-secretory transitional epithelial","Merged_a5B1__M18",3
"Level 3___Absorptive-secretory transitional epithelial___Merged_a5B1__M13","Level 3","Absorptive-secretory transitional epithelial","Merged_a5B1__M13",3
"Level 3___Enteroendocrine cell___Merged_a5B1__M17","Level 3","Enteroendocrine cell","Merged_a5B1__M17",2
"Level 3___IFN/MHC-II-responsive epithelial___Merged_a5B1__M13","Level 3","IFN/MHC-II-responsive epithelial","Merged_a5B1__M13",5
"Level 3___Absorptive-secretory transitional epithelial___Merged_a5B1__M21","Level 3","Absorptive-secretory transitional epithelial","Merged_a5B1__M21",11
"Level 3___Enteroendocrine cell___Merged_a5B1__M19","Level 3","Enteroendocrine cell","Merged_a5B1__M19",5
"Level 3___Reg4+ deep-crypt secretory epithelial___Merged_a5B1__M18","Level 3","Reg4+ deep-crypt secretory epithelial","Merged_a5B1__M18",7
"Level 3___Absorptive-secretory transitional epithelial___Merged_a5B1__M22","Level 3","Absorptive-secretory transitional epithelial","Merged_a5B1__M22",9
"Level 3___Enteroendocrine cell___Merged_a5B1__M21","Level 3","Enteroendocrine cell","Merged_a5B1__M21",3
"Level 3___IFN-responsive absorptive colonocyte___Merged_a5B1__M13","Level 3","IFN-responsive absorptive colonocyte","Merged_a5B1__M13",1
