sample,group,subset,kind,marker,events,median,mean,eligible
FD1,FD,Saved: cd177- all neutrophils/osm+ padi4+,saved gate,PADI4,147,6328.722390463429,8054.722546862999,True
FD1,FD,Saved: cd177- all neutrophils/osm+ padi4+,saved gate,NAMPT,147,408.14412761834376,535.7492699029264,True
FD1,FD,Saved: cd177- all neutrophils/osm+ padi4+,saved gate,CD177,147,-13828.343290864957,-15113.745108132809,True
FD1,FD,Saved: cd177- all neutrophils/osm+ padi4+,saved gate,CD11b,147,11599.919033622908,14190.022737293446,True
FD1,FD,Saved: cd177- all neutrophils/osm+ padi4+,saved gate,CD45,147,21631.709810855817,25593.500788867135,True
FD1,FD,Saved: cd177- all neutrophils/osm+ padi4+,saved gate,Ly6G,147,27817.861785880705,34171.6575489533,True
FD1,FD,Saved: cd177- all neutrophils/osm+ padi4+,saved gate,F4/80,147,-3423.6646604167295,-4049.445918118751,True
FD1,FD,Saved: cd177- all neutrophils/padi4+ cxcr4+,saved gate,OSM,476,-6464.772150598289,-9106.929584714784,True
FD1,FD,Saved: cd177- all neutrophils/padi4+ cxcr4+,saved gate,CXCR4,476,5157.1822108648485,8379.95413177351,True
FD1,FD,Saved: cd177- all neutrophils/padi4+ cxcr4+,saved gate,MX1,476,-710.4738304118448,-1038.5868172604655,True
FD1,FD,Saved: cd177- all neutrophils/padi4+ cxcr4+,saved gate,PADI4,476,4159.695610832021,5756.490701450984,True
FD1,FD,Saved: cd177- all neutrophils/padi4+ cxcr4+,saved gate,NAMPT,476,-59.6565653897446,-35.19014602386768,True
FD1,FD,Saved: cd177- all neutrophils/padi4+ cxcr4+,saved gate,CD177,476,-8393.642688869211,-10517.790630354053,True
FD1,FD,Saved: cd177- all neutrophils/padi4+ cxcr4+,saved gate,CD11b,476,13518.252348274807,24732.7284096782,True
FD1,FD,Saved: cd177- all neutrophils/padi4+ cxcr4+,saved gate,CD45,476,19537.08418720243,23841.36130395421,True
FD1,FD,Saved: cd177- all neutrophils/padi4+ cxcr4+,saved gate,Ly6G,476,17051.573979224715,24537.7009696119,True
FD1,FD,Saved: cd177- all neutrophils/padi4+ cxcr4+,saved gate,F4/80,476,3602.6935465604884,3985.750952822924,True
FD1,FD,Saved: cd177- all neutrophils/padi4+ cxcr4-,saved gate,OSM,113,-17591.13626867986,-30727.90590775262,True
FD1,FD,Saved: cd177- all neutrophils/padi4+ cxcr4-,saved gate,CXCR4,113,190.230803750122,-149.10812822375763,True
FD1,FD,Saved: cd177- all neutrophils/padi4+ cxcr4-,saved gate,MX1,113,-3954.022330331629,-7830.772996244509,True
FD1,FD,Saved: cd177- all neutrophils/padi4+ cxcr4-,saved gate,PADI4,113,3288.090996649797,4525.5544094597535,True
FD1,FD,Saved: cd177- all neutrophils/padi4+ cxcr4-,saved gate,NAMPT,113,-402.5680384189779,-652.2368161631008,True
FD1,FD,Saved: cd177- all neutrophils/padi4+ cxcr4-,saved gate,CD177,113,-8238.22902344035,-9990.087827459338,True
FD1,FD,Saved: cd177- all neutrophils/padi4+ cxcr4-,saved gate,CD11b,113,25505.48206235299,52019.030123162505,True
FD1,FD,Saved: cd177- all neutrophils/padi4+ cxcr4-,saved gate,CD45,113,12321.131485163103,17102.828730807014,True
FD1,FD,Saved: cd177- all neutrophils/padi4+ cxcr4-,saved gate,Ly6G,113,15852.83508915455,29867.720794233195,True
FD1,FD,Saved: cd177- all neutrophils/padi4+ cxcr4-,saved gate,F4/80,113,4506.394749809661,7109.063328816289,True
FD1,FD,Saved: cd177- all neutrophils/padi4+ mx1+,saved gate,OSM,84,16108.807347345206,19743.1215905543,True
FD1,FD,Saved: cd177- all neutrophils/padi4+ mx1+,saved gate,CXCR4,84,3351.8291410641514,4527.503428110459,True
FD1,FD,Saved: cd177- all neutrophils/padi4+ mx1+,saved gate,MX1,84,7082.133515579271,8667.78159675505,True
FD1,FD,Saved: cd177- all neutrophils/padi4+ mx1+,saved gate,PADI4,84,7872.714292350717,9808.729605709796,True
FD1,FD,Saved: cd177- all neutrophils/padi4+ mx1+,saved gate,NAMPT,84,636.4068368418092,791.6706717999871,True
FD1,FD,Saved: cd177- all neutrophils/padi4+ mx1+,saved gate,CD177,84,-17065.941236540348,-17771.979095360504,True
FD1,FD,Saved: cd177- all neutrophils/padi4+ mx1+,saved gate,CD11b,84,14226.512379178097,17221.971873578066,True
FD1,FD,Saved: cd177- all neutrophils/padi4+ mx1+,saved gate,CD45,84,25707.234834427712,30283.662653497344,True
FD1,FD,Saved: cd177- all neutrophils/padi4+ mx1+,saved gate,Ly6G,84,33505.947812880666,42206.24883232334,True
FD1,FD,Saved: cd177- all neutrophils/padi4+ mx1+,saved gate,F4/80,84,-6309.418053431638,-5818.809318508779,True
FD1,FD,Saved: cxcr4+,saved gate,OSM,1081,-9873.532847123155,-15109.874328858357,True
FD1,FD,Saved: cxcr4+,saved gate,CXCR4,1081,4242.083438935255,6917.877474702192,True
FD1,FD,Saved: cxcr4+,saved gate,MX1,1081,-2095.4831955890572,-3100.7056397880806,True
FD1,FD,Saved: cxcr4+,saved gate,PADI4,1081,1897.6324503591886,2795.3784796486807,True
FD1,FD,Saved: cxcr4+,saved gate,NAMPT,1081,-196.21370896723957,-187.00857054855314,True
FD1,FD,Saved: cxcr4+,saved gate,CD177,1081,-5302.760432483844,-6276.618776755204,True
FD1,FD,Saved: cxcr4+,saved gate,CD11b,1081,17905.923079165288,29010.36439484823,True
FD1,FD,Saved: cxcr4+,saved gate,CD45,1081,13639.831497381734,18010.61253549265,True
FD1,FD,Saved: cxcr4+,saved gate,Ly6G,1081,14470.866593513094,21741.640618143647,True
FD1,FD,Saved: cxcr4+,saved gate,F4/80,1081,3726.014017568165,3879.2684417328833,True
FD1,FD,Saved: cxcr4+/cd177 hi,saved gate,OSM,73,-45454.77911286137,-57423.59166177143,True
FD1,FD,Saved: cxcr4+/cd177 hi,saved gate,CXCR4,73,3532.07843535056,5226.448775241918,True
FD1,FD,Saved: cxcr4+/cd177 hi,saved gate,MX1,73,-10585.708729512686,-14037.9314123393,True
FD1,FD,Saved: cxcr4+/cd177 hi,saved gate,PADI4,73,-418.34465628224876,-133.60395950607614,True
FD1,FD,Saved: cxcr4+/cd177 hi,saved gate,NAMPT,73,-807.0922937262435,-1006.296488342776,True
FD1,FD,Saved: cxcr4+/cd177 hi,saved gate,CD177,73,5646.995175114034,8753.222709436393,True
FD1,FD,Saved: cxcr4+/cd177 hi,saved gate,CD11b,73,50100.3277937576,55021.827782151835,True
FD1,FD,Saved: cxcr4+/cd177 hi,saved gate,CD45,73,10828.633463906384,14140.21595794152,True
FD1,FD,Saved: cxcr4+/cd177 hi,saved gate,Ly6G,73,16534.222818690276,27824.57721776126,True
FD1,FD,Saved: cxcr4+/cd177 hi,saved gate,F4/80,73,5391.1057359928645,6159.358388903497,True
FD1,FD,"Saved: cxcr4+/mx1, osm+",saved gate,OSM,93,24337.242644832142,27126.765384729937,True
FD1,FD,"Saved: cxcr4+/mx1, osm+",saved gate,CXCR4,93,3149.9255359667477,4354.160617150481,True
FD1,FD,"Saved: cxcr4+/mx1, osm+",saved gate,MX1,93,8802.423663961396,10402.431486481682,True
FD1,FD,"Saved: cxcr4+/mx1, osm+",saved gate,PADI4,93,3792.9666104635885,4821.291244187431,True
FD1,FD,"Saved: cxcr4+/mx1, osm+",saved gate,NAMPT,93,773.5278666361472,998.5288078467712,True
FD1,FD,"Saved: cxcr4+/mx1, osm+",saved gate,CD177,93,-15638.31048457464,-17818.06304555088,True
FD1,FD,"Saved: cxcr4+/mx1, osm+",saved gate,CD11b,93,18175.223496649032,22153.96128152019,True
FD1,FD,"Saved: cxcr4+/mx1, osm+",saved gate,CD45,93,19590.586512389345,26014.8593838129,True
FD1,FD,"Saved: cxcr4+/mx1, osm+",saved gate,Ly6G,93,45661.53611859414,51923.351592099134,True
FD1,FD,"Saved: cxcr4+/mx1, osm+",saved gate,F4/80,93,-7086.166229874162,-8530.617255156601,True
FD1,FD,"Saved: cxcr4+/mx1, padi4+",saved gate,OSM,92,12937.844331817909,15541.794800168751,True
FD1,FD,"Saved: cxcr4+/mx1, padi4+",saved gate,CXCR4,92,3253.6771557551324,4643.230684554715,True
FD1,FD,"Saved: cxcr4+/mx1, padi4+",saved gate,MX1,92,5559.925594911749,6331.853272473476,True
FD1,FD,"Saved: cxcr4+/mx1, padi4+",saved gate,PADI4,92,7354.6406705279605,8975.055462613404,True
FD1,FD,"Saved: cxcr4+/mx1, padi4+",saved gate,NAMPT,92,454.44465739691964,503.2712450644966,True
FD1,FD,"Saved: cxcr4+/mx1, padi4+",saved gate,CD177,92,-14705.068048347788,-15545.879446445071,True
FD1,FD,"Saved: cxcr4+/mx1, padi4+",saved gate,CD11b,92,12647.363372522897,14497.118425579252,True
FD1,FD,"Saved: cxcr4+/mx1, padi4+",saved gate,CD45,92,24070.75129285463,27839.840987416195,True
FD1,FD,"Saved: cxcr4+/mx1, padi4+",saved gate,Ly6G,92,28910.078592635,34679.52271630032,True
FD1,FD,"Saved: cxcr4+/mx1, padi4+",saved gate,F4/80,92,-3975.418527882232,-3757.9994240010756,True
FD1,FD,"Saved: cxcr4+/padi4, osm+",saved gate,OSM,101,14565.070887770278,18020.075779327697,True
FD1,FD,"Saved: cxcr4+/padi4, osm+",saved gate,CXCR4,101,3251.9349714272644,4349.261378518156,True
FD1,FD,"Saved: cxcr4+/padi4, osm+",saved gate,MX1,101,6247.275681127646,6834.671602465028,True
FD1,FD,"Saved: cxcr4+/padi4, osm+",saved gate,PADI4,101,7378.745167016522,9393.52334683842,True
FD1,FD,"Saved: cxcr4+/padi4, osm+",saved gate,NAMPT,101,503.274684920959,606.5666910993834,True
FD1,FD,"Saved: cxcr4+/padi4, osm+",saved gate,CD177,101,-14925.104370601299,-17170.827314288214,True
FD1,FD,"Saved: cxcr4+/padi4, osm+",saved gate,CD11b,101,13490.192042849423,15424.334323469866,True
FD1,FD,"Saved: cxcr4+/padi4, osm+",saved gate,CD45,101,23997.886051346904,29066.76118581421,True
FD1,FD,"Saved: cxcr4+/padi4, osm+",saved gate,Ly6G,101,31926.568374560695,38438.60281072034,True
FD1,FD,"Saved: cxcr4+/padi4, osm+",saved gate,F4/80,101,-4708.388359543481,-3924.776243611552,True
FD1,FD,Saved: cxcr4+/padi4- or osm-,saved gate,OSM,835,-10700.869391719718,-16828.541143732444,True
FD1,FD,Saved: cxcr4+/padi4- or osm-,saved gate,CXCR4,835,4737.260578971998,7550.196838569369,True
FD1,FD,Saved: cxcr4+/padi4- or osm-,saved gate,MX1,835,-2227.3254101845578,-3627.883314866604,True
FD1,FD,Saved: cxcr4+/padi4- or osm-,saved gate,PADI4,835,1886.2470413357562,2546.287856821306,True
FD1,FD,Saved: cxcr4+/padi4- or osm-,saved gate,NAMPT,835,-229.4020518830129,-243.2563709712425,True
FD1,FD,Saved: cxcr4+/padi4- or osm-,saved gate,CD177,835,-5224.832339068893,-5904.935811201841,True
