sample,group,subset,kind,events,denominator_events,value
WD4,WD,"Saved: cxcr4+/mx1, osm+",saved gate,2,337,0.5934718100890207
WD4,WD,"Saved: cxcr4+/mx1, padi4+",saved gate,3,337,0.8902077151335311
WD4,WD,"Saved: cxcr4+/padi4, osm+",saved gate,1,337,0.29673590504451036
WD4,WD,Saved: cxcr4+/padi4- or osm-,saved gate,81,337,24.03560830860534
WD4,WD,Saved: cxcr4+/padi4- or osm-/true cxcr+ neutro,saved gate,77,337,22.8486646884273
WD4,WD,Saved: cxcr4-,saved gate,230,337,68.24925816023739
WD4,WD,Saved: cxcr4-/cd177 hi,saved gate,69,337,20.474777448071215
WD4,WD,Saved: mx1+,saved gate,11,337,3.264094955489614
WD4,WD,Saved: mx1+/cd177 hi,saved gate,0,337,0.0
WD4,WD,Saved: osm+,saved gate,30,337,8.90207715133531
WD4,WD,Saved: osm+/cd177 hi,saved gate,0,337,0.0
WD4,WD,Saved: padi4+,saved gate,6,337,1.7804154302670623
WD4,WD,Saved: padi4+/cd177 hi,saved gate,0,337,0.0
WD4,WD,FMO: CXCR4+,fixed FMO,54,337,16.023738872403563
WD4,WD,FMO: OSM+,fixed FMO,1,337,0.29673590504451036
WD4,WD,FMO: PADI4+,fixed FMO,0,337,0.0
WD4,WD,FMO: MX1+,fixed FMO,7,337,2.077151335311573
WD4,WD,FMO: NAMPT+,fixed FMO,84,337,24.92581602373887
WD4,WD,FMO: CXCR4+ & OSM+,fixed FMO coexpression,0,337,0.0
WD4,WD,FMO: CXCR4+ & PADI4+,fixed FMO coexpression,0,337,0.0
WD4,WD,FMO: CXCR4+ & MX1+,fixed FMO coexpression,3,337,0.8902077151335311
WD4,WD,FMO: CXCR4+ & NAMPT+,fixed FMO coexpression,19,337,5.637982195845697
WD4,WD,FMO: OSM+ & PADI4+,fixed FMO coexpression,0,337,0.0
WD4,WD,FMO: OSM+ & MX1+,fixed FMO coexpression,0,337,0.0
WD4,WD,FMO: OSM+ & NAMPT+,fixed FMO coexpression,0,337,0.0
WD4,WD,FMO: PADI4+ & MX1+,fixed FMO coexpression,0,337,0.0
WD4,WD,FMO: PADI4+ & NAMPT+,fixed FMO coexpression,0,337,0.0
WD4,WD,FMO: MX1+ & NAMPT+,fixed FMO coexpression,7,337,2.077151335311573
WD4,WD,F4/80 gate overlap,gate overlap,61,337,18.100890207715132
WD4,WD,Outside F4/80 gate,gate overlap,276,337,81.89910979228486
WD5,WD,All neutrophils / viable cells,total abundance,301,48432,0.6214899240171787
WD5,WD,All neutrophils / CD45-CD11b gate,total abundance,301,1426,21.107994389901823
WD5,WD,Saved: cd177+ all neutrophil,saved gate,36,301,11.960132890365449
WD5,WD,Saved: cd177+ all neutrophil/cxcr4+,saved gate,32,301,10.631229235880399
WD5,WD,Saved: cd177+ all neutrophil/cxcr4+/padi4+,saved gate,10,301,3.3222591362126246
WD5,WD,Saved: cd177+ all neutrophil/cxcr4- osm+,saved gate,0,301,0.0
WD5,WD,Saved: cd177+ all neutrophil/mx1+ cxcr4-,saved gate,0,301,0.0
WD5,WD,Saved: cd177+ all neutrophil/padi4+,saved gate,17,301,5.647840531561462
WD5,WD,Saved: cd177+ all neutrophil/padi4+ cxcr4-,saved gate,3,301,0.9966777408637874
WD5,WD,Saved: cd177- all neutrophils,saved gate,254,301,84.38538205980066
WD5,WD,Saved: cd177- all neutrophils/cxcr4+ osm+,saved gate,49,301,16.27906976744186
