sample,group,subset,events,immediate_parent_events,percent_immediate_parent
FD2,FD,Saved: cd177- all neutrophils/padi4+ cxcr4-,3,74,4.054054054054054
FD2,FD,Saved: cd177- all neutrophils/padi4+ mx1+,18,74,24.324324324324323
FD2,FD,Saved: cxcr4+,72,112,64.28571428571429
FD2,FD,Saved: cxcr4+/cd177 hi,4,72,5.555555555555555
FD2,FD,"Saved: cxcr4+/mx1, osm+",11,72,15.277777777777779
FD2,FD,"Saved: cxcr4+/mx1, padi4+",31,72,43.05555555555556
FD2,FD,"Saved: cxcr4+/padi4, osm+",27,72,37.5
FD2,FD,Saved: cxcr4+/padi4- or osm-,37,72,51.388888888888886
FD2,FD,Saved: cxcr4+/padi4- or osm-/true cxcr+ neutro,33,37,89.1891891891892
FD2,FD,Saved: cxcr4-,37,112,33.035714285714285
FD2,FD,Saved: cxcr4-/cd177 hi,29,37,78.37837837837837
FD2,FD,Saved: mx1+,20,112,17.857142857142858
FD2,FD,Saved: mx1+/cd177 hi,0,20,0.0
FD2,FD,Saved: osm+,52,112,46.42857142857143
FD2,FD,Saved: osm+/cd177 hi,0,52,0.0
FD2,FD,Saved: padi4+,27,112,24.107142857142858
FD2,FD,Saved: padi4+/cd177 hi,1,27,3.7037037037037037
FD4,FD,Saved: cd177+ all neutrophil,279,640,43.59375
FD4,FD,Saved: cd177+ all neutrophil/cxcr4+,29,279,10.394265232974911
FD4,FD,Saved: cd177+ all neutrophil/cxcr4+/padi4+,11,29,37.93103448275862
FD4,FD,Saved: cd177+ all neutrophil/cxcr4- osm+,0,279,0.0
FD4,FD,Saved: cd177+ all neutrophil/mx1+ cxcr4-,1,279,0.35842293906810035
FD4,FD,Saved: cd177+ all neutrophil/padi4+,86,279,30.82437275985663
FD4,FD,Saved: cd177+ all neutrophil/padi4+ cxcr4-,16,279,5.734767025089606
FD4,FD,Saved: cd177- all neutrophils,310,640,48.4375
FD4,FD,Saved: cd177- all neutrophils/cxcr4+ osm+,63,310,20.322580645161292
FD4,FD,Saved: cd177- all neutrophils/cxcr4- mx1+,26,310,8.387096774193548
FD4,FD,Saved: cd177- all neutrophils/cxcr4- osm+,24,310,7.741935483870968
FD4,FD,Saved: cd177- all neutrophils/mx1+ cxcr4+,42,310,13.548387096774194
