subset,marker,kind,family,n_PBS,n_GCV,PBS_median,GCV_median,PBS_q25,PBS_q75,GCV_q25,GCV_q75,status,p_exact,rank_biserial,median_difference,hodges_lehmann_shift,q_family,family_test_count,q_all_tests
Saved: cd177- all neutrophils/cxcr4- osm+,F4/80,saved gate,Exploratory subset MFI,1,3,-1728.069126779341,-1819.252660951892,-1728.069126779341,-1728.069126779341,-2114.3930483572194,-1580.6712131516451,insufficient mice with >=20 subset events,,,,,,170.0,
Saved: cd177- all neutrophils/mx1+ cxcr4+,OSM,saved gate,Exploratory subset MFI,3,4,3216.0085835182863,13329.720527023053,2546.5063350243445,4879.109972576978,11983.289219679555,16407.55306887631,tested,0.05714285714285714,1.0,10113.711943504768,10064.634466106378,0.7622139764996907,170.0,0.8055555555555556
Saved: cd177- all neutrophils/mx1+ cxcr4+,CXCR4,saved gate,Exploratory subset MFI,3,4,6040.9259179680375,2764.3975799599416,5184.468688943318,7489.805380848787,2750.473724920826,2897.0919072562288,tested,0.05714285714285714,-1.0,-3276.528338008096,-3276.528338008096,0.7622139764996907,170.0,0.8055555555555556
Saved: cd177- all neutrophils/mx1+ cxcr4+,MX1,saved gate,Exploratory subset MFI,3,4,3785.932341098727,5853.541969562115,3234.9099006185584,4209.974419504675,4974.471196636038,6692.564340175792,tested,0.22857142857142856,0.6666666666666667,2067.6096284633877,2067.6096284633877,0.8925117435755734,170.0,0.8636363636363636
Saved: cd177- all neutrophils/mx1+ cxcr4+,PADI4,saved gate,Exploratory subset MFI,3,4,1926.0652410485918,2976.8127039012998,1643.8945038940155,2200.041186786271,1556.7545189641821,4718.970876784692,tested,0.8571428571428571,0.16666666666666674,1050.747462852708,1058.942254269605,1.0,170.0,1.0
Saved: cd177- all neutrophils/mx1+ cxcr4+,NAMPT,saved gate,Exploratory subset MFI,3,4,135.56135486286365,646.2985208456109,78.87957046685493,279.6622809154703,534.8299638675501,771.8089517665726,tested,0.11428571428571428,0.8333333333333333,510.7371659827473,497.2265690839407,0.7622139764996907,170.0,0.8055555555555556
Saved: cd177- all neutrophils/mx1+ cxcr4+,CD177,saved gate,Exploratory subset MFI,3,4,-9104.107143336254,-12315.815999903223,-9588.207099322646,-8606.29603232634,-14214.801275994134,-9942.936958483984,tested,0.4,-0.5,-3211.708856566969,-3225.420011590491,0.9586466165413534,170.0,0.9339622641509433
Saved: cd177- all neutrophils/mx1+ cxcr4+,CD11b,saved gate,Exploratory subset MFI,3,4,11535.45165135885,13297.922579503409,10941.644984026989,11840.97554247791,11083.691149164308,14688.021923182529,tested,0.6285714285714286,0.33333333333333326,1762.4709281445594,2050.753704357361,1.0,170.0,1.0
Saved: cd177- all neutrophils/mx1+ cxcr4+,CD45,saved gate,Exploratory subset MFI,3,4,20798.86139278506,14755.62704626036,20156.169880809157,27879.805040106865,13822.490761588499,16657.91052879004,tested,0.11428571428571428,-0.8333333333333334,-6043.2343465246995,-6525.4256726988,0.7622139764996907,170.0,0.8055555555555556
Saved: cd177- all neutrophils/mx1+ cxcr4+,Ly6G,saved gate,Exploratory subset MFI,3,4,8511.875561175095,27568.464890521638,7625.242673701117,12484.158284030967,21451.17525830539,33924.30890826757,tested,0.05714285714285714,1.0,19056.58932934654,15970.939493964652,0.7622139764996907,170.0,0.8055555555555556
Saved: cd177- all neutrophils/mx1+ cxcr4+,F4/80,saved gate,Exploratory subset MFI,3,4,2960.180696500976,-4539.492460387794,1113.6229797976946,3395.164898250771,-4874.058899044487,-1499.883913995087,tested,0.4,-0.5,-7499.67315688877,-6070.4338433463145,0.9586466165413534,170.0,0.9339622641509433
Saved: cd177- all neutrophils/mx1+ osm+,OSM,saved gate,Exploratory subset MFI,0,3,,18439.13303296098,,,18431.339651593655,19177.8792075123,insufficient mice with >=20 subset events,,,,,,170.0,
Saved: cd177- all neutrophils/mx1+ osm+,CXCR4,saved gate,Exploratory subset MFI,0,3,,2162.3161351354556,,,2050.0689220707814,2425.4409390625688,insufficient mice with >=20 subset events,,,,,,170.0,
Saved: cd177- all neutrophils/mx1+ osm+,MX1,saved gate,Exploratory subset MFI,0,3,,6772.80244397042,,,6435.571079554511,6797.115703709054,insufficient mice with >=20 subset events,,,,,,170.0,
Saved: cd177- all neutrophils/mx1+ osm+,PADI4,saved gate,Exploratory subset MFI,0,3,,947.9139838700554,,,709.1142962356098,1986.740213284254,insufficient mice with >=20 subset events,,,,,,170.0,
Saved: cd177- all neutrophils/mx1+ osm+,NAMPT,saved gate,Exploratory subset MFI,0,3,,741.6108596499688,,,672.2405197842997,762.1614419782813,insufficient mice with >=20 subset events,,,,,,170.0,
Saved: cd177- all neutrophils/mx1+ osm+,CD177,saved gate,Exploratory subset MFI,0,3,,-9923.149719170298,,,-11215.527341863515,-9217.703039426093,insufficient mice with >=20 subset events,,,,,,170.0,
Saved: cd177- all neutrophils/mx1+ osm+,CD11b,saved gate,Exploratory subset MFI,0,3,,12738.49687153163,,,12559.80017374124,13607.366445750646,insufficient mice with >=20 subset events,,,,,,170.0,
Saved: cd177- all neutrophils/mx1+ osm+,CD45,saved gate,Exploratory subset MFI,0,3,,11091.282219376211,,,10000.42093231625,14426.820850850012,insufficient mice with >=20 subset events,,,,,,170.0,
Saved: cd177- all neutrophils/mx1+ osm+,Ly6G,saved gate,Exploratory subset MFI,0,3,,34597.0095138427,,,32804.98609803823,34615.43248685637,insufficient mice with >=20 subset events,,,,,,170.0,
Saved: cd177- all neutrophils/mx1+ osm+,F4/80,saved gate,Exploratory subset MFI,0,3,,-5247.546921561543,,,-5284.827068357648,-5122.622346906711,insufficient mice with >=20 subset events,,,,,,170.0,
Saved: cd177- all neutrophils/osm+ padi4+,OSM,saved gate,Exploratory subset MFI,1,3,7746.475446347005,12910.863010613079,7746.475446347005,7746.475446347005,12339.515606110064,14837.321788971803,insufficient mice with >=20 subset events,,,,,,170.0,
Saved: cd177- all neutrophils/osm+ padi4+,CXCR4,saved gate,Exploratory subset MFI,1,3,4557.549437317207,2818.618313983282,4557.549437317207,4557.549437317207,2545.589394177904,2896.2196449667663,insufficient mice with >=20 subset events,,,,,,170.0,
