cell_ID,PatientID,Diagnosis2,cell_type,a5B1_cell_raw,a5B1_cell_clr,higher_signal_posterior,a5B1_positive,previous_a5B1_high
P01_3081,P01,Control,Fibroblast,4.1699,0.530480235074581,0.007871604398902173,False,False
P01_31,P01,Control,Fibroblast,7.0068,0.801806895246385,0.01222421024829642,False,False
P01_3104,P01,Control,Fibroblast,2.147,0.276023756542037,0.007405023011747088,False,False
P01_3115,P01,Control,Fibroblast,3.6767,0.64256316670821,0.0074877239923760676,False,False
P01_3120,P01,Control,Fibroblast,5.4828,0.817083857625763,0.009449849432082429,False,False
P01_3139,P01,Control,Fibroblast,4.2701,0.500953666708837,0.007964591234727118,False,False
P01_314,P01,Control,Fibroblast,1.9697,0.308098530752389,0.00757994019304993,False,False
P01_3150,P01,Control,Fibroblast,2.123,0.326717967449116,0.007425169822928653,False,False
P01_3153,P01,Control,Fibroblast,5.2722,0.76558900273489,0.009145909740770475,False,False
P01_3162,P01,Control,Fibroblast,1.961,0.342514760418764,0.007590184412429489,False,False
P01_3165,P01,Control,Fibroblast,8.2753,1.01016649850629,0.015360853881084071,False,True
P01_317,P01,Control,Fibroblast,1.0664,0.206184162540359,0.010132904793351329,False,False
P01_3175,P01,Control,Fibroblast,4.6418,0.692684501765961,0.008350590733334405,False,False
P01_3181,P01,Control,Fibroblast,4.3112,0.75967922768442,0.008004120168315103,False,False
P01_3183,P01,Control,Fibroblast,7.9125,0.874860454044941,0.014380888605832573,False,False
P01_3191,P01,Control,Fibroblast,2.5695,0.384506735589178,0.007195173360188052,False,False
P01_322,P01,Control,Fibroblast,4.2344,0.633854964931463,0.007930907990490147,False,False
P01_3227,P01,Control,Fibroblast,1.7406,0.387475971942722,0.007911713778287009,False,False
P01_3235,P01,Control,Fibroblast,7.0043,1.08068266731214,0.012218804500591133,False,True
P01_3247,P01,Control,Fibroblast,4.9375,0.88844694386084,0.008702090202175806,False,False
P01_3250,P01,Control,Fibroblast,4.4205,0.486554263683815,0.008113104408295616,False,False
P01_3251,P01,Control,Fibroblast,5.2378,0.887945737768916,0.00909806966967214,False,False
P01_3253,P01,Control,Fibroblast,4.3569,0.512380421478987,0.008049009002613796,False,False
P01_326,P01,Control,Fibroblast,2.2672,0.436240583665325,0.0073188946292375755,False,False
P01_3262,P01,Control,Fibroblast,4.1327,0.537308995682084,0.007838319734758539,False,False
P01_3281,P01,Control,Fibroblast,2.6034,0.259636788769357,0.007188391403929595,False,False
P01_3305,P01,Control,Fibroblast,8.9815,1.36626210182005,0.01747340339429333,False,True
P01_3309,P01,Control,Fibroblast,1.2427,0.22059451488709,0.009286513583452026,False,False
P01_3313,P01,Control,Fibroblast,6.0768,0.725156739246705,0.010409699161363493,False,False
P01_3324,P01,Control,Fibroblast,13.4891,1.47246977432094,0.0389667229177783,False,True
P01_3337,P01,Control,Fibroblast,6.1131,0.875438670566129,0.010473303444634775,False,False
P01_3338,P01,Control,Fibroblast,6.3412,0.736724577909467,0.010886192265589713,False,False
P01_3339,P01,Control,Fibroblast,2.6377,0.394415569719677,0.007182821977803131,False,False
