analysis	n_pairs	gene	logFC	logCPM	F	PValue	FDR
"All fibroblasts"	5	"MAMDC2"	-1.71816750029467	7.21772001105915	12.8113597173139	0.00268928694304575	0.133706210347477
"All fibroblasts"	5	"NFIB"	-1.1830592432573	7.52409077436028	13.1419894279433	0.00269254455943218	0.133706210347477
"All fibroblasts"	5	"SIPA1L1"	1.68562196631159	5.96191508508763	12.4101143725916	0.00270578502748878	0.133706210347477
"All fibroblasts"	5	"HAPLN1"	-1.11433166436747	8.69087966074613	13.1614984163704	0.00271738190729631	0.133706210347477
"All fibroblasts"	5	"COLEC12"	-1.25279218060836	8.39036495866895	13.1900250312631	0.00273057131136944	0.133706210347477
"All fibroblasts"	5	"SELENOM"	1.1482457723973	8.01636029250912	13.1324796682316	0.00279770837065853	0.134901027683659
"All fibroblasts"	5	"PRELID1"	1.45244402190385	6.87064692820452	12.9928079270595	0.00280127412900683	0.134901027683659
"All fibroblasts"	5	"PAPLN"	1.76746973804137	7.15806134742729	12.8190076274274	0.00285478293054831	0.136350984723812
"All fibroblasts"	5	"GBP1"	0.912395044140002	8.82680109014008	12.8132993112916	0.00305088786713685	0.144532712209808
"All fibroblasts"	5	"IGFBP4"	1.08903257378596	9.8823618726748	12.6942044745916	0.00314535302459871	0.147806226405941
"All fibroblasts"	5	"KLHL5"	1.72752451101084	6.86837702438544	12.1807094915347	0.00318413596654465	0.148431682216445
"All fibroblasts"	5	"COTL1"	1.40832895563566	6.6699592638903	12.1653070055585	0.0033166319017123	0.152944377636157
"All fibroblasts"	5	"FAM20C"	1.54648407156087	7.95307836045953	12.4953193404283	0.00333343675301045	0.152944377636157
"All fibroblasts"	5	"SRM"	1.36406942634701	6.54940576771991	12.0950284082119	0.00340548519213963	0.155029392301544
"All fibroblasts"	5	"NDRG2"	-1.46117377113142	7.18812754371184	12.2896710830872	0.00347466610627282	0.156411206530298
"All fibroblasts"	5	"MBP"	-1.49434542889639	6.26754571773858	12.0133381707462	0.00350322231871149	0.156411206530298
"All fibroblasts"	5	"ADH1B"	-1.25973849413223	10.0539779928954	12.274624713894	0.0035408054303186	0.156411206530298
"All fibroblasts"	5	"DDOST"	1.54954724898875	6.27150275371596	11.8968280551945	0.0035558818605437	0.156411206530298
"All fibroblasts"	5	"PIM1"	1.50699612930845	7.66483216240802	12.0461213300475	0.00358408418346646	0.156411206530298
"All fibroblasts"	5	"TMED9"	1.00401392818882	7.91424882791136	12.2300786926207	0.0035968940578445	0.156411206530298
"All fibroblasts"	5	"TGFBI"	1.25239324759391	9.2628403572018	12.1817915487883	0.00364413091305785	0.157291487632505
"All fibroblasts"	5	"NR1D2"	-1.08853691683091	7.07746009507976	12.131353192966	0.00368108826556392	0.157718392084125
"All fibroblasts"	5	"LSP1"	-0.890592892159396	8.52392535490397	12.0980535335031	0.0037255499042903	0.158108099742842
"All fibroblasts"	5	"ELN"	-0.994866916039873	7.79835173296407	12.0340788340444	0.00377396089914752	0.158108099742842
"All fibroblasts"	5	"PTGDS"	1.08420843845887	8.15947539459515	12.0319396070491	0.0038021319155612	0.158108099742842
"All fibroblasts"	5	"LDHA"	0.807103063972094	9.31013648750446	11.991389838809	0.00383880163816954	0.158108099742842
