analysis	n_pairs	gene	logFC	logCPM	F	PValue	FDR
"Neutrophil CXCR4"	3	"HLA-C"	0.450869555966064	12.5481740190772	2.39459087486579	0.127103936611087	0.993081890871427
"Neutrophil CXCR4"	3	"PLSCR1"	1.30165750270598	9.2796895110743	2.36407218582897	0.12957895102198	0.993081890871427
"Neutrophil CXCR4"	3	"SERPINA1"	-0.683901633175815	11.2546846531493	2.35211938366457	0.130459634152925	0.993081890871427
"Neutrophil CXCR4"	3	"ARPC4"	-1.0441238190139	9.49181913061646	2.27382017520125	0.136756279925727	0.993081890871427
"Neutrophil CXCR4"	3	"ATP5ME"	-1.27995931235017	9.29524412639772	2.26821835683343	0.137271910417077	0.993081890871427
"Neutrophil CXCR4"	3	"RHOG"	0.948247808234838	10.2123865752297	2.26550822207428	0.137580466153587	0.993081890871427
"Neutrophil CXCR4"	3	"GUCA2A"	-2.90333379260237	9.01365179175074	2.41558236975648	0.14079740450077	0.993081890871427
"Neutrophil CXCR4"	3	"ACTB"	-0.303743618560536	13.6957960955952	2.1832955048828	0.144833710816288	0.993081890871427
"Neutrophil CXCR4"	3	"OLFM4"	-0.871999695751713	10.1856868108943	2.16593505185603	0.1464032144723	0.993081890871427
"Neutrophil CXCR4"	3	"RALB"	1.18873509083232	9.33964156203205	2.14838427744669	0.147983867644341	0.993081890871427
"Neutrophil CXCR4"	3	"PLEK"	0.359360420482824	13.0439210335317	2.14092417458993	0.148722710326119	0.993081890871427
"Neutrophil CXCR4"	3	"RGS2"	0.900370709054693	10.1313564165919	2.12464789763192	0.150249975042815	0.993081890871427
"Neutrophil CXCR4"	3	"PPP1R15B"	1.13509640154313	9.45582356927658	2.08578967138578	0.153914571298499	0.993081890871427
"Neutrophil CXCR4"	3	"BHLHE40"	0.795036887936751	10.4698443568208	2.03614809083508	0.158872865051811	0.993081890871427
"Neutrophil CXCR4"	3	"MTRNR2L8"	-0.315198800826741	13.6801392947142	1.93487229664632	0.169449814179498	0.993081890871427
"Neutrophil CXCR4"	3	"CYBB"	-0.829047210942007	10.2065189137846	1.91681936137288	0.171404606506049	0.993081890871427
"Neutrophil CXCR4"	3	"IRF2BP2"	-0.771053607699929	10.2455411812973	1.85082327559991	0.178790241947041	0.993081890871427
"Neutrophil CXCR4"	3	"CDC42EP3"	-0.754444936780039	10.4174458205221	1.8439232105405	0.179647422337638	0.993081890871427
"Neutrophil CXCR4"	3	"CD82"	0.950707663780635	9.87003668341774	1.79319185266327	0.185612363343247	0.993081890871427
"Neutrophil CXCR4"	3	"WBP2"	1.0060323876979	9.52619635481075	1.77610006404605	0.187710680755021	0.993081890871427
"Neutrophil CXCR4"	3	"KDM6B"	-0.628564747881002	11.0532262163214	1.77640311007165	0.187718918765522	0.993081890871427
"Neutrophil CXCR4"	3	"CD55"	0.630725242902541	11.032507881674	1.77421423824466	0.187987434734824	0.993081890871427
"Neutrophil CXCR4"	3	"ATF4"	-0.980134425919064	9.3682792020598	1.74606114856588	0.191375044603094	0.993081890871427
"Neutrophil CXCR4"	3	"TALDO1"	-0.808008959005786	10.0335925451318	1.73991115109489	0.192213716574788	0.993081890871427
"Neutrophil CXCR4"	3	"IER3"	0.504961112983604	11.7080323663367	1.73238929273833	0.19319866867628	0.993081890871427
"Neutrophil CXCR4"	3	"EPCAM"	-0.939343947146097	9.81718255726119	1.72557453050577	0.193980566544715	0.993081890871427
"Neutrophil CXCR4"	3	"IL1RN"	0.374184502622582	12.8144360069591	1.71931836490662	0.19486198081829	0.993081890871427
"Neutrophil CXCR4"	3	"MBOAT7"	0.823021759694055	10.0521470112691	1.67378304096283	0.200796509594567	0.993081890871427
"Neutrophil CXCR4"	3	"PPIA"	-0.673645019071704	10.7819777632811	1.6730956883766	0.20088358775113	0.993081890871427
"Neutrophil CXCR4"	3	"PLAU"	0.775303960327966	10.3626209533822	1.65073904429793	0.203747618330479	0.993081890871427
"Neutrophil CXCR4"	3	"PPDPF"	-0.846792650124841	9.7625747351576	1.62902387247236	0.206771575166022	0.993081890871427
"Neutrophil CXCR4"	3	"COX7C"	-0.982602792399854	9.50718828733418	1.6255752966481	0.207264558369611	0.993081890871427
"Neutrophil CXCR4"	3	"LTB"	0.984161297513986	9.57335727888452	1.61776302641493	0.208323057146	0.993081890871427
"Neutrophil CXCR4"	3	"MALAT1"	-0.252972663029585	13.7959997212631	1.61183473738539	0.209218683963267	0.993081890871427
"Neutrophil CXCR4"	3	"ZFP36L1"	0.555453078611926	11.2776651442371	1.58717775770281	0.212692904186965	0.993081890871427
"Neutrophil CXCR4"	3	"RILPL2"	0.77660947668881	10.1958942275115	1.57746657552917	0.214078667056927	0.993081890871427
"Neutrophil CXCR4"	3	"LGALS3"	-0.594754224513126	10.9378488854533	1.53566744714858	0.220172182240919	0.993081890871427
"Neutrophil CXCR4"	3	"ISG20"	1.14615009789922	8.91969762807037	1.53000544499491	0.220904866682704	0.993081890871427
"Neutrophil CXCR4"	3	"CHD1"	0.931081957011686	9.46199264522976	1.5153310561706	0.223160044453666	0.993081890871427
"Neutrophil CXCR4"	3	"CEACAM1"	-0.756229549940138	10.0041194041528	1.5093471128295	0.224100653515705	0.993081890871427
"Neutrophil CXCR4"	3	"UBE2R2"	0.91288924005725	9.52608592466013	1.50035894582317	0.225462427520366	0.993081890871427
"Neutrophil CXCR4"	3	"APOBEC3A"	0.956402320783018	9.38101694644866	1.49342604483232	0.22651309699709	0.993081890871427
"Neutrophil CXCR4"	3	"YPEL5"	0.78300729795396	9.97824852356738	1.49091645394693	0.22692960655025	0.993081890871427
