DonorID,ConditionCode,state,N,total_cells,proportion,sample_id,clr,cells,all_neutrophils,fraction_all
Donor5,UN,OSM neutrophil,13,26,0.5,Donor5||UN,1.64791843300216,26,75,0.173333333333333
Donor5,UN,CXCR4 neutrophil,13,26,0.5,Donor5||UN,1.64791843300216,26,75,0.173333333333333
Donor5,UN,MX1/ISG neutrophil,0,26,0,Donor5||UN,-1.64791843300216,26,75,0
Donor6,CF,PADI4 neutrophil,19,1249,0.0152121697357886,Donor6||CF,-2.02020638124795,1249,6575,0.00288973384030418
Donor6,CF,OSM neutrophil,464,1249,0.371497197758207,Donor6||CF,1.15034071143624,1249,6575,0.0705703422053232
Donor6,CF,CXCR4 neutrophil,692,1249,0.55404323458767,Donor6||CF,1.54968739124384,1249,6575,0.105247148288973
Donor6,CF,MX1/ISG neutrophil,74,1249,0.0592473979183347,Donor6||CF,-0.679821721432137,1249,6575,0.011254752851711
Donor6,N,PADI4 neutrophil,65,801,0.0811485642946317,Donor6||N,-0.425818449116472,801,1663,0.0390859891761876
Donor6,N,OSM neutrophil,563,801,0.702871410736579,Donor6||N,1.72629874172215,801,1663,0.338544798556825
Donor6,N,CXCR4 neutrophil,156,801,0.194756554307116,Donor6||N,0.445187418222529,801,1663,0.0938063740228503
Donor6,N,MX1/ISG neutrophil,17,801,0.0212234706616729,Donor6||N,-1.74566771082821,801,1663,0.0102224894768491
Donor6,NA5,PADI4 neutrophil,0,1,0,Donor6||NA5,-0.274653072167027,1,3,0
Donor6,NA5,OSM neutrophil,1,1,1,Donor6||NA5,0.823959216501082,1,3,0.333333333333333
Donor6,NA5,CXCR4 neutrophil,0,1,0,Donor6||NA5,-0.274653072167027,1,3,0
Donor6,NA5,MX1/ISG neutrophil,0,1,0,Donor6||NA5,-0.274653072167027,1,3,0
Donor6,NNAMPT,PADI4 neutrophil,0,13,0,Donor6||NNAMPT,-1.07937202838408,13,26,0
Donor6,NNAMPT,OSM neutrophil,12,13,0.923076923076923,Donor6||NNAMPT,2.13950379648412,13,26,0.461538461538462
Donor6,NNAMPT,CXCR4 neutrophil,1,13,0.0769230769230769,Donor6||NNAMPT,0.019240260284032,13,26,0.0384615384615385
Donor6,NNAMPT,MX1/ISG neutrophil,0,13,0,Donor6||NNAMPT,-1.07937202838408,13,26,0
Donor6,UA5,PADI4 neutrophil,36,510,0.0705882352941176,Donor6||UA5,-0.82631883619611,510,3261,0.0110395584176633
Donor6,UA5,OSM neutrophil,179,510,0.350980392156863,Donor6||UA5,0.766544111143777,510,3261,0.0548911376878258
Donor6,UA5,CXCR4 neutrophil,268,510,0.525490196078431,Donor6||UA5,1.16921981716436,510,3261,0.0821833793314934
Donor6,UA5,MX1/ISG neutrophil,27,510,0.0529411764705882,Donor6||UA5,-1.10944509211203,510,3261,0.00827966881324747
Donor6,UD,PADI4 neutrophil,39,481,0.0810810810810811,Donor6||UD,-0.670248283247874,481,2875,0.0135652173913043
Donor6,UD,OSM neutrophil,182,481,0.378378378378378,Donor6||UD,0.860201217867596,481,2875,0.063304347826087
Donor6,UD,CXCR4 neutrophil,240,481,0.498960498960499,Donor6||UD,1.13617113439087,481,2875,0.0834782608695652
Donor6,UD,MX1/ISG neutrophil,20,481,0.0415800415800416,Donor6||UD,-1.32612406901059,481,2875,0.00695652173913044
Donor6,UF,PADI4 neutrophil,14,369,0.037940379403794,Donor6||UF,-1.37435334189581,369,1972,0.00709939148073022
Donor6,UF,OSM neutrophil,162,369,0.439024390243902,Donor6||UF,1.04217601044746,369,1972,0.0821501014198783
Donor6,UF,CXCR4 neutrophil,166,369,0.449864498644986,Donor6||UF,1.06649331809816,369,1972,0.0841784989858012
Donor6,UF,MX1/ISG neutrophil,27,369,0.0731707317073171,Donor6||UF,-0.73431598664981,369,1972,0.0136916835699797
Donor6,UN,PADI4 neutrophil,3,54,0.0555555555555556,Donor6||UN,-1.02274653985399,54,229,0.0131004366812227
Donor6,UN,OSM neutrophil,26,54,0.481481481481482,Donor6||UN,1.00163522464282,54,229,0.11353711790393
Donor6,UN,CXCR4 neutrophil,21,54,0.388888888888889,Donor6||UN,0.792543426784258,54,229,0.091703056768559
Donor6,UN,MX1/ISG neutrophil,4,54,0.0740740740740741,Donor6||UN,-0.771432111573085,54,229,0.0174672489082969
