program,population,version,n,effect,se,low,high,p,p_signflip,same_sign,contrast,min_cells,q,q_signflip
Degranulation,All annotated,identity_markers_removed,6,0.0482152650394761,0.00699678669238713,0.0302294522602039,0.0662010778187483,0.000985279909799771,0.03125,6,alpha_in_UC,0,0.00459797291239893,0.0729166666666667
Degranulation,Resolved,full_gene,6,0.0350179584970382,0.0276981965258997,-0.0361825223723243,0.106218439366401,0.261863939993741,0.21875,5,alpha_in_UC,0,0.407343906656931,0.340277777777778
Degranulation,Resolved,identity_markers_removed,6,0.0350179584970382,0.0276981965258997,-0.0361825223723243,0.106218439366401,0.261863939993741,0.21875,5,alpha_in_UC,0,0.407343906656931,0.340277777777778
Degranulation,Resolved; >=100 genes,full_gene,6,0.0272178820061662,0.0312363583580411,-0.0530777334004408,0.107513497412773,0.423418097221758,0.5,5,alpha_in_UC,0,0.572207692406513,0.619791666666667
Degranulation,Resolved; >=100 genes,identity_markers_removed,6,0.0272178820061662,0.0312363583580411,-0.0530777334004408,0.107513497412773,0.423418097221758,0.5,5,alpha_in_UC,0,0.572207692406513,0.583333333333333
Oxidative_burst,All annotated,full_gene,6,-0.00315659924201566,0.0221460807074234,-0.0600849120390541,0.0537717135550227,0.892222830926597,0.90625,4,alpha_in_UC,0,0.953731616421022,0.9375
Oxidative_burst,All annotated,identity_markers_removed,6,-0.00315659924201566,0.0221460807074234,-0.0600849120390541,0.0537717135550227,0.892222830926597,0.90625,4,alpha_in_UC,0,0.900473905029047,0.90625
Oxidative_burst,Resolved,full_gene,6,-0.0680299738002862,0.0473655727490223,-0.189787054743433,0.0537271071428608,0.210414395416662,0.1875,4,alpha_in_UC,0,0.368225191979159,0.328125
Oxidative_burst,Resolved,identity_markers_removed,6,-0.0680299738002862,0.0473655727490223,-0.189787054743433,0.0537271071428608,0.210414395416662,0.1875,4,alpha_in_UC,0,0.368225191979159,0.328125
Oxidative_burst,Resolved; >=100 genes,full_gene,6,-0.097502266270954,0.056792625781835,-0.24349235850383,0.0484878259619216,0.146663501096247,0.15625,4,alpha_in_UC,0,0.256661126918432,0.2734375
Oxidative_burst,Resolved; >=100 genes,identity_markers_removed,6,-0.097502266270954,0.056792625781835,-0.24349235850383,0.0484878259619216,0.146663501096247,0.15625,4,alpha_in_UC,0,0.256661126918432,0.2734375
Phagocytosis,All annotated,full_gene,6,-0.0562158133321619,0.0078734813094584,-0.0764552413694777,-0.0359763852948461,0.000836837802341149,0.03125,6,alpha_in_UC,0,0.00459797291239893,0.0729166666666667
Phagocytosis,All annotated,identity_markers_removed,6,-0.0562158133321619,0.0078734813094584,-0.0764552413694777,-0.0359763852948461,0.000836837802341149,0.03125,6,alpha_in_UC,0,0.00459797291239893,0.0729166666666667
Phagocytosis,Resolved,full_gene,6,-0.117777457097003,0.0445530087881534,-0.232304612210775,-0.00325030198323127,0.0457809985883842,0.09375,5,alpha_in_UC,0,0.160233495059345,0.2625
Phagocytosis,Resolved,identity_markers_removed,6,-0.117777457097003,0.0445530087881534,-0.232304612210775,-0.00325030198323127,0.0457809985883842,0.09375,5,alpha_in_UC,0,0.160233495059345,0.2625
Phagocytosis,Resolved; >=100 genes,full_gene,6,-0.148236307210985,0.053093003561293,-0.284716217765019,-0.011756396656951,0.0383536085884988,0.09375,5,alpha_in_UC,0,0.134237630059746,0.25
Phagocytosis,Resolved; >=100 genes,identity_markers_removed,6,-0.148236307210985,0.053093003561293,-0.284716217765019,-0.011756396656951,0.0383536085884988,0.09375,5,alpha_in_UC,0,0.134237630059746,0.25
Chemotaxis,All annotated,full_gene,6,-0.0823971566333012,0.00974408329678769,-0.107445120160951,-0.0573491931056516,0.000379734967753418,0.03125,6,alpha_in_UC,0,0.00459797291239893,0.0729166666666667
Chemotaxis,All annotated,identity_markers_removed,6,-0.0706533103601336,0.00700550717518046,-0.0886615398540723,-0.0526450808661948,0.000164114526521847,0.03125,6,alpha_in_UC,0,0.00229760337130586,0.0729166666666667
Chemotaxis,Resolved,full_gene,6,-0.182381824978235,0.056214839372662,-0.326886669962813,-0.0378769799936569,0.0228381049431684,0.03125,6,alpha_in_UC,0,0.130157410533273,0.145833333333333
Chemotaxis,Resolved,identity_markers_removed,6,-0.153000009759039,0.0431779623886469,-0.263992495575083,-0.0420075239429957,0.0165015084494999,0.03125,6,alpha_in_UC,0,0.109722585884685,0.145833333333333
Chemotaxis,Resolved; >=100 genes,full_gene,6,-0.212633577443555,0.0658312773807082,-0.381858263295139,-0.0434088915919711,0.0232063983979895,0.03125,6,alpha_in_UC,0,0.108296525857284,0.145833333333333
Chemotaxis,Resolved; >=100 genes,identity_markers_removed,6,-0.186383649206419,0.0543177868268878,-0.326011965375582,-0.0467553330372559,0.0186082681274699,0.03125,6,alpha_in_UC,0,0.0868385845948595,0.145833333333333
OSM_inflammation,All annotated,full_gene,6,-0.0221798403437612,0.0221014854300363,-0.0789935173307931,0.0346338366432707,0.361662595541852,0.3125,4,alpha_in_UC,0,0.460297848871448,0.397727272727273
