gene,logFC,logCPM,F,PValue,FDR,population,contrast,n_donors,tested_genes
HIGD1A,-6.14224589058847,2.15335114563779,2.66424109623883,0.103627963695516,0.309558160207713,Resolved,alpha_interaction,4,16812
HIGD2A,0.172536486643652,3.90780353297217,0.0635169433196768,0.801183642389372,0.895995436429862,Resolved,alpha_interaction,4,16812
HIKESHI,0.220481460002754,2.11801522611356,0.031601730934759,0.859017007958481,0.929629477811264,Resolved,alpha_interaction,4,16812
HINFP,0.627721923919434,1.90878446215678,0.326173501220153,0.568322082987215,0.748421943851522,Resolved,alpha_interaction,4,16812
HINT1,-1.77984283438705,5.00904281698229,9.60669639498492,0.00211176535994414,0.0189714282429535,Resolved,alpha_interaction,4,16812
HINT3,-0.251645660201803,5.64153744455996,0.425227877247989,0.514814730324939,0.711648186665259,Resolved,alpha_interaction,4,16812
HIP1,-0.948168391488591,8.61731360829739,13.6425486927224,0.000260541534109059,0.00352391333181134,Resolved,alpha_interaction,4,16812
HIPK1,-0.36094639138632,5.35207596407885,0.695392859034329,0.404965997781092,0.631068292302522,Resolved,alpha_interaction,4,16812
HIPK2,-0.711996571363132,5.17249006989658,1.73183628433931,0.189126572518468,0.433682431305574,Resolved,alpha_interaction,4,16812
HIPK3,-0.233680129155414,5.5218998677651,0.340017354613016,0.560235600026555,0.743208467422587,Resolved,alpha_interaction,4,16812
HIRA,-0.292620804417706,3.91393317095367,0.228533056639182,0.632942697865818,0.791625698297882,Resolved,alpha_interaction,4,16812
HISLA,-0.546778950090105,2.38554428649697,0.123939291957353,0.72503429897161,0.848452436806571,Resolved,alpha_interaction,4,16812
HIVEP1,-0.842514319817088,8.54525172119227,10.356979510529,0.00142398197696857,0.0139510402079228,Resolved,alpha_interaction,4,16812
HIVEP2,-1.11567195343832,7.70456066299339,12.8810623484246,0.000384701749630346,0.00484949142844995,Resolved,alpha_interaction,4,16812
HIVEP2-DT,-1.33905617973141,4.94954002719742,4.30900238886369,0.0387127882259591,0.167084779893643,Resolved,alpha_interaction,4,16812
HIVEP3,-1.30986082003257,6.93063894929867,12.4932628335142,0.000469460899109813,0.00570195444052528,Resolved,alpha_interaction,4,16812
HJV,2.90686113732488,0.863268345464611,2.96703390948275,0.085942236031978,0.277111789829232,Resolved,alpha_interaction,4,16812
HK1,-0.503635507899477,4.57193207483922,0.679222658485083,0.410472155177642,0.634990993468753,Resolved,alpha_interaction,4,16812
