program,population,version,DonorID,delta,contrast,min_cells
Chemotaxis,Resolved; >=100 genes,full_gene,Donor6,-0.884413942083067,alpha_interaction,0
Chemotaxis,Resolved; >=100 genes,identity_markers_removed,Donor1,-0.715311370776283,alpha_interaction,0
Chemotaxis,Resolved; >=100 genes,identity_markers_removed,Donor2,-0.702963390966018,alpha_interaction,0
Chemotaxis,Resolved; >=100 genes,identity_markers_removed,Donor3,-0.569204170410766,alpha_interaction,0
Chemotaxis,Resolved; >=100 genes,identity_markers_removed,Donor4,-0.453475339080931,alpha_interaction,0
Chemotaxis,Resolved; >=100 genes,identity_markers_removed,Donor5,-0.81709092801166,alpha_interaction,0
Chemotaxis,Resolved; >=100 genes,identity_markers_removed,Donor6,-0.776114042850015,alpha_interaction,0
OSM_inflammation,All annotated,full_gene,Donor1,-0.0950013224913619,alpha_interaction,0
OSM_inflammation,All annotated,full_gene,Donor2,-0.0429233142925198,alpha_interaction,0
OSM_inflammation,All annotated,full_gene,Donor3,-0.370797970322734,alpha_interaction,0
OSM_inflammation,All annotated,full_gene,Donor4,-0.501709223277392,alpha_interaction,0
OSM_inflammation,All annotated,full_gene,Donor5,0.0589751438898441,alpha_interaction,0
OSM_inflammation,All annotated,full_gene,Donor6,-0.10558071459666,alpha_interaction,0
OSM_inflammation,All annotated,identity_markers_removed,Donor1,-0.077874865127585,alpha_interaction,0
OSM_inflammation,All annotated,identity_markers_removed,Donor2,-0.0319243620831107,alpha_interaction,0
OSM_inflammation,All annotated,identity_markers_removed,Donor3,-0.354196471810349,alpha_interaction,0
OSM_inflammation,All annotated,identity_markers_removed,Donor4,-0.487901300511949,alpha_interaction,0
OSM_inflammation,All annotated,identity_markers_removed,Donor5,0.0852804652776401,alpha_interaction,0
OSM_inflammation,All annotated,identity_markers_removed,Donor6,-0.0727434556780681,alpha_interaction,0
OSM_inflammation,Resolved,full_gene,Donor1,-0.402605129490992,alpha_interaction,0
OSM_inflammation,Resolved,full_gene,Donor2,-0.347469537786034,alpha_interaction,0
OSM_inflammation,Resolved,full_gene,Donor3,-0.381163479470305,alpha_interaction,0
OSM_inflammation,Resolved,full_gene,Donor4,-0.444505245584319,alpha_interaction,0
OSM_inflammation,Resolved,full_gene,Donor5,-0.499598622259771,alpha_interaction,0
OSM_inflammation,Resolved,full_gene,Donor6,-0.991618608484797,alpha_interaction,0
OSM_inflammation,Resolved,identity_markers_removed,Donor1,-0.35953746864792,alpha_interaction,0
OSM_inflammation,Resolved,identity_markers_removed,Donor2,-0.309487106221225,alpha_interaction,0
OSM_inflammation,Resolved,identity_markers_removed,Donor3,-0.355102403888882,alpha_interaction,0
OSM_inflammation,Resolved,identity_markers_removed,Donor4,-0.420639464090454,alpha_interaction,0
OSM_inflammation,Resolved,identity_markers_removed,Donor5,-0.461388722149361,alpha_interaction,0
OSM_inflammation,Resolved,identity_markers_removed,Donor6,-0.91663048879341,alpha_interaction,0
OSM_inflammation,Resolved; >=100 genes,full_gene,Donor1,-0.391387458184205,alpha_interaction,0
