barcode,DonorID,ConditionCode,neutrophil_cluster_annotation,neutrophil_state_annotation,lineage_eligible
D_56206690,Donor3,UD,PADI4/translation-high neutrophil,CXCR4 neutrophil,TRUE
D_56207679,Donor4,UA5,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
D_56207886,Donor3,UD,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
D_56209714,Donor1,UA5,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
D_56211777,Donor6,UD,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
D_56212684,Donor1,UA5,IL1R2+ inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
D_56216452,Donor5,UD,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
D_56216657,Donor5,UD,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
D_56216992,Donor2,UA5,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
D_56219440,Donor1,UA5,Low-signal neutrophil,OSM neutrophil,TRUE
D_56219493,Donor6,UA5,PADI4/translation-high neutrophil,MX1/ISG neutrophil,TRUE
D_56223818,Donor1,UA5,IL1R2+ inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
D_56224320,Donor3,UD,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
D_56226097,Donor2,UA5,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
D_56227661,Donor1,UA5,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
D_56227681,Donor1,UA5,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
D_56228955,Donor4,UA5,DHFR+ proliferative/stress neutrophil,CXCR4 neutrophil,TRUE
D_56230885,Donor4,UA5,Activated OSM/CXCR4 neutrophil,MX1/ISG neutrophil,TRUE
D_56234523,Donor2,UA5,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
D_56234907,Donor4,UD,PADI4/translation-high neutrophil,CXCR4 neutrophil,TRUE
D_56237327,Donor5,UD,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
D_56237482,Donor3,UA5,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
D_56237604,Donor6,UD,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
D_56239123,Donor5,UD,Activated OSM/CXCR4 neutrophil,MX1/ISG neutrophil,TRUE
D_56239572,Donor2,UA5,IL1R2+ inflammatory neutrophil,CXCR4 neutrophil,TRUE
D_56241911,Donor3,UA5,Activated OSM/CXCR4 neutrophil,PADI4 neutrophil,TRUE
D_56243380,Donor3,UA5,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
D_56243734,Donor4,UD,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
D_56244741,Donor2,UA5,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
D_56245157,Donor2,UD,IL1R2+ inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
D_56245378,Donor1,UA5,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
D_56246289,Donor3,UA5,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
D_56247144,Donor6,UA5,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
D_56247273,Donor3,UD,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
D_56247305,Donor6,UD,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
D_56247357,Donor1,UA5,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
D_56250970,Donor5,UD,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
D_56252107,Donor2,UA5,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
D_56253200,Donor2,UA5,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
D_56253327,Donor5,UD,PADI4/translation-high neutrophil,Low-signal/unresolved neutrophil,TRUE
D_56253717,Donor1,UA5,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
D_56255209,Donor6,UD,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
D_56255773,Donor2,UD,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
D_56256723,Donor5,UD,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
D_56259049,Donor2,UD,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
D_56262392,Donor4,UA5,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
D_56262424,Donor6,UA5,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
D_56263143,Donor1,UD,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
D_56263623,Donor3,UA5,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
D_56263743,Donor1,UA5,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
D_56267149,Donor2,UD,IL1R2+ inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
D_56269362,Donor6,UA5,PADI4/translation-high neutrophil,Low-signal/unresolved neutrophil,TRUE
D_56269464,Donor5,UD,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
D_56269493,Donor4,UD,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
D_56269980,Donor4,UD,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
