barcode,DonorID,ConditionCode,neutrophil_cluster_annotation,neutrophil_state_annotation,lineage_eligible
E_54069318,Donor5,NA5,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54070450,Donor4,CF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54071752,Donor5,NA5,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54071933,Donor4,NA5,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54072055,Donor6,CF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54072556,Donor6,CF,IL1R2+ inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54072607,Donor4,CF,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
E_54072685,Donor1,CF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54072695,Donor5,NA5,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54074111,Donor6,CF,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
E_54074283,Donor4,CF,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54074328,Donor3,CF,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
E_54075919,Donor5,NA5,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
E_54078060,Donor6,CF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54079333,Donor3,CF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54081740,Donor6,CF,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
E_54081937,Donor3,NA5,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54082065,Donor4,CF,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
E_54082404,Donor2,NA5,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54083671,Donor6,CF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54085080,Donor1,CF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54085502,Donor4,CF,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54087736,Donor5,NA5,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54088162,Donor6,CF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54088619,Donor4,CF,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
E_54090328,Donor5,NA5,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54090389,Donor5,NA5,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54092113,Donor6,CF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54093854,Donor1,CF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54096108,Donor5,NA5,IL1R2+ inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54096284,Donor3,NA5,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
E_54096803,Donor3,NA5,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54097133,Donor2,NA5,DHFR+ proliferative/stress neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54097677,Donor4,NA5,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54098933,Donor3,NA5,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
E_54099213,Donor4,CF,IL1R2+ inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54099681,Donor3,CF,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
E_54099689,Donor1,CF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54099784,Donor3,CF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54100320,Donor5,NA5,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54100728,Donor3,NA5,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54102245,Donor6,CF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54104778,Donor5,NA5,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54105096,Donor5,NA5,IL1R2+ inflammatory neutrophil,OSM neutrophil,TRUE
E_54106308,Donor5,NA5,IL1R2+ inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54107278,Donor1,CF,Low-signal neutrophil,CXCR4 neutrophil,TRUE
E_54108084,Donor4,CF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54110980,Donor1,CF,IL1R2+ inflammatory neutrophil,OSM neutrophil,TRUE
E_54111358,Donor6,CF,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54112772,Donor3,NA5,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
E_54114615,Donor2,NA5,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54115070,Donor3,CF,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
E_54115753,Donor1,CF,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
E_54116001,Donor3,NA5,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54116178,Donor6,CF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54116348,Donor6,CF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54117068,Donor1,CF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54117841,Donor3,NA5,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
E_54118059,Donor3,CF,IL1R2+ inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54118651,Donor5,NA5,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54119260,Donor5,NA5,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
E_54120149,Donor2,NA5,IL1R2+ inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54121776,Donor3,CF,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
E_54121971,Donor2,NA5,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54122679,Donor3,NA5,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
E_54123254,Donor5,NA5,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
E_54124478,Donor5,NA5,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54126270,Donor2,NA5,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54126571,Donor5,NA5,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54126939,Donor5,NA5,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54127165,Donor5,NA5,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54127959,Donor3,CF,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
E_54128177,Donor1,CF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54128899,Donor4,NA5,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
E_54129346,Donor6,CF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54129397,Donor1,CF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54129577,Donor1,CF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54131276,Donor3,NA5,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54131281,Donor2,NA5,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54132130,Donor5,NA5,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54134131,Donor6,CF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54134181,Donor3,NA5,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54134909,Donor1,CF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54136871,Donor1,CF,IL1R2+ inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54137535,Donor3,CF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54139528,Donor5,NA5,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54140021,Donor1,CF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54141136,Donor1,CF,Low-signal neutrophil,OSM neutrophil,TRUE
E_54141465,Donor1,CF,IL1R2+ inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54142492,Donor2,NA5,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54142719,Donor6,CF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54144731,Donor5,NA5,IL1R2+ inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54145084,Donor3,NA5,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
E_54147017,Donor5,NA5,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54147543,Donor2,NA5,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54148175,Donor5,NA5,Low-signal neutrophil,CXCR4 neutrophil,TRUE
E_54150762,Donor6,CF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54152844,Donor3,NA5,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
E_54153056,Donor4,CF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54155596,Donor1,CF,Low-signal neutrophil,CXCR4 neutrophil,TRUE
E_54156443,Donor6,CF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54157874,Donor4,CF,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
E_54158099,Donor5,NA5,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54158443,Donor1,CF,IL1R2+ inflammatory neutrophil,OSM neutrophil,TRUE
E_54158794,Donor2,NA5,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54159847,Donor4,CF,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
E_54160742,Donor6,CF,IL1R2+ inflammatory neutrophil,CXCR4 neutrophil,TRUE
E_54160988,Donor5,NA5,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54161150,Donor5,NA5,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54161814,Donor1,CF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54162112,Donor3,NA5,Activated OSM/CXCR4 neutrophil,MX1/ISG neutrophil,TRUE
E_54163508,Donor5,NA5,IL1R2+ inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54164667,Donor4,NA5,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
E_54164732,Donor5,NA5,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54165133,Donor3,NA5,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
E_54165717,Donor6,CF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54166563,Donor2,NA5,IL1R2+ inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54166642,Donor5,NA5,IL1R2+ inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54167998,Donor1,CF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54168238,Donor5,NA5,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54168285,Donor5,NA5,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54168603,Donor4,CF,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
E_54168833,Donor2,NA5,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
E_54168924,Donor6,CF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54169968,Donor6,CF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54170300,Donor3,CF,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
E_54170862,Donor4,CF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54171196,Donor4,NA5,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
E_54172456,Donor4,NA5,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
E_54172874,Donor1,NA5,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54173312,Donor4,NA5,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
E_54173426,Donor5,NA5,PADI4/translation-high neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54173531,Donor5,NA5,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54173801,Donor1,CF,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
E_54175731,Donor5,NA5,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54175740,Donor2,NA5,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
E_54178985,Donor2,NA5,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
E_54179811,Donor5,NA5,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54180939,Donor5,NA5,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54180952,Donor5,NA5,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54181252,Donor1,CF,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
E_54181346,Donor2,NA5,Low-signal neutrophil,CXCR4 neutrophil,TRUE
E_54181449,Donor1,CF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54182349,Donor5,NA5,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54182674,Donor1,CF,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54183779,Donor3,NA5,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
E_54185163,Donor5,NA5,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54185824,Donor5,NA5,IL1R2+ inflammatory neutrophil,OSM neutrophil,TRUE
E_54186049,Donor4,NA5,IL1R2+ inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54186113,Donor5,NA5,IL1R2+ inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54186855,Donor5,NA5,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54187365,Donor6,CF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54189267,Donor3,CF,Activated OSM/CXCR4 neutrophil,MX1/ISG neutrophil,TRUE
E_54189314,Donor5,NA5,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54190298,Donor4,CF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54190694,Donor1,CF,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54192032,Donor6,CF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54192285,Donor2,NA5,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54192854,Donor4,CF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54193339,Donor2,NA5,CCL3/CCL4 inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54194461,Donor5,NA5,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54195464,Donor3,NA5,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
E_54198677,Donor6,CF,IL1R2+ inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54199690,Donor5,NA5,DHFR+ proliferative/stress neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54200463,Donor3,NA5,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
E_54205032,Donor6,CF,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54205694,Donor4,NA5,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54206624,Donor5,NA5,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54206673,Donor1,CF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54207247,Donor1,NA5,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54207918,Donor5,NA5,IL1R2+ inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54208858,Donor5,NA5,Low-signal neutrophil,CXCR4 neutrophil,TRUE
E_54209525,Donor4,CF,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
E_54211582,Donor2,NA5,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54213080,Donor6,CF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54213372,Donor4,NA5,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54214457,Donor5,NA5,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54215788,Donor3,NA5,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
E_54215804,Donor1,CF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54215956,Donor4,NA5,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
E_54216415,Donor1,CF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54216998,Donor2,NA5,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54217304,Donor6,CF,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
E_54218352,Donor4,NA5,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
E_54222633,Donor5,NA5,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54223071,Donor5,NA5,IL1R2+ inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54223428,Donor5,NA5,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
E_54224181,Donor3,NA5,IL1R2+ inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54224656,Donor2,NA5,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54224750,Donor5,NA5,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54225239,Donor5,NA5,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54225780,Donor5,NA5,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54228485,Donor3,NA5,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54229003,Donor6,CF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54229103,Donor6,CF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54229191,Donor4,NA5,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54229374,Donor5,NA5,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54229958,Donor2,NA5,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54229973,Donor1,CF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54230520,Donor5,NA5,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
E_54230794,Donor5,NA5,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54231802,Donor4,CF,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
E_54233307,Donor1,CF,IL1R2+ inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54236051,Donor1,CF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54239048,Donor4,CF,Activated OSM/CXCR4 neutrophil,MX1/ISG neutrophil,TRUE
E_54239955,Donor6,CF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54240708,Donor6,CF,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
E_54241033,Donor5,NA5,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54241078,Donor2,NA5,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54242730,Donor3,NA5,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54242919,Donor2,NA5,IL1R2+ inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54243146,Donor5,NA5,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54243545,Donor3,CF,DHFR+ proliferative/stress neutrophil,CXCR4 neutrophil,TRUE
E_54243808,Donor5,NA5,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54244291,Donor2,NA5,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54244662,Donor1,CF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54244890,Donor6,CF,DHFR+ proliferative/stress neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54245493,Donor5,NA5,IL1R2+ inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54248409,Donor6,CF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54248921,Donor3,NA5,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54249045,Donor4,CF,Activated OSM/CXCR4 neutrophil,MX1/ISG neutrophil,TRUE
E_54249081,Donor1,CF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54249753,Donor2,NA5,IL1R2+ inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54250868,Donor1,CF,Low-signal neutrophil,OSM neutrophil,TRUE
E_54253354,Donor5,NA5,IL1R2+ inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54253396,Donor5,NA5,IL1R2+ inflammatory neutrophil,OSM neutrophil,TRUE
E_54254013,Donor5,NA5,Low-signal neutrophil,OSM neutrophil,TRUE
E_54254151,Donor6,CF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54254861,Donor4,CF,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54256027,Donor1,CF,IL1R2+ inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54257895,Donor2,NA5,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54258377,Donor2,NA5,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54258789,Donor5,NA5,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54260049,Donor5,NA5,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54260284,Donor6,CF,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
E_54262863,Donor5,NA5,PADI4/translation-high neutrophil,OSM neutrophil,TRUE
E_54263014,Donor2,NA5,IL1R2+ inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54263393,Donor3,CF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54263765,Donor6,CF,IL1R2+ inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54263876,Donor1,CF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54264350,Donor3,NA5,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
E_54264905,Donor5,NA5,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54265714,Donor4,NA5,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
E_54267790,Donor2,NA5,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54268193,Donor3,NA5,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54269955,Donor4,CF,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
E_54273106,Donor5,NA5,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54274167,Donor6,CF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54274878,Donor1,NA5,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54275110,Donor4,NA5,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
E_54276367,Donor1,CF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54277524,Donor3,NA5,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
E_54278237,Donor6,CF,IL1R2+ inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54278653,Donor5,NA5,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
E_54278843,Donor2,NA5,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54279056,Donor3,NA5,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54279252,Donor4,NA5,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54279499,Donor6,CF,IL1R2+ inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54282596,Donor3,NA5,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54284934,Donor5,NA5,DHFR+ proliferative/stress neutrophil,OSM neutrophil,TRUE
E_54284965,Donor5,NA5,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54285065,Donor6,CF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54286502,Donor3,CF,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
E_54287252,Donor4,NA5,Activated OSM/CXCR4 neutrophil,MX1/ISG neutrophil,TRUE
E_54288848,Donor4,CF,Low-signal neutrophil,CXCR4 neutrophil,TRUE
E_54289759,Donor6,CF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54289784,Donor4,CF,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
E_54290441,Donor6,CF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54293084,Donor3,CF,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
E_54295778,Donor3,CF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54296638,Donor3,NA5,Low-signal neutrophil,CXCR4 neutrophil,TRUE
E_54297284,Donor6,CF,DHFR+ proliferative/stress neutrophil,CXCR4 neutrophil,TRUE
E_54297518,Donor6,CF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54299340,Donor3,NA5,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54301323,Donor5,NA5,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54301926,Donor4,CF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54302868,Donor6,CF,DHFR+ proliferative/stress neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54303749,Donor5,NA5,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54304399,Donor5,NA5,IL1R2+ inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54307414,Donor1,CF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54307987,Donor2,NA5,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54312255,Donor5,NA5,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54312417,Donor2,NA5,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54313845,Donor2,NA5,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
E_54314633,Donor3,CF,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
E_54316196,Donor3,CF,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
E_54316409,Donor3,CF,Low-signal neutrophil,CXCR4 neutrophil,TRUE
