program,version,min_state_cells,component,n,effect,se,low,high,p,p_signflip,same_sign,q
Phagocytosis,full_gene,10,activity,5,-0.101299479233788,0.0503856930148969,-0.241192589976997,0.0385936315094211,0.114735987235579,0.25,3,0.257749252939232
Chemotaxis,full_gene,10,activity,5,-0.13751704206211,0.0412318948241315,-0.2519951346246,-0.0230389494996195,0.0289646659511056,0.0625,5,0.135168441105159
OSM_inflammation,full_gene,10,activity,5,-0.0586234160404552,0.0232750551018295,-0.123245328851139,0.00599849677022829,0.0654457647717932,0.0625,5,0.183248141361021
Type_I_interferon,full_gene,10,activity,5,-0.00612211428309642,0.00950358208566524,-0.0325082882466871,0.0202640596804943,0.554532300793875,0.6875,2,0.705768382828568
Immature_granulopoiesis,full_gene,10,activity,5,0.0498544406755304,0.0107889954417539,0.0198993870912714,0.0798094942597895,0.00987471329296791,0.0625,5,0.109483522004914
Survival_antiapoptosis,full_gene,10,activity,5,-0.0495675265500176,0.0275932603473319,-0.126178699177816,0.0270436460777805,0.146858574095345,0.25,3,0.257749252939232
Hypoxia_glycolysis,full_gene,10,activity,5,0.00738807802886745,0.0305412804556075,-0.077408110598577,0.0921842666563118,0.820749889349029,0.8125,2,0.945217791459525
ER_stress,full_gene,10,activity,5,-0.106542453045168,0.0353672317080085,-0.204737630405265,-0.00834727568507165,0.039454624964743,0.0625,5,0.138091187376601
Proliferation_stress,full_gene,10,activity,5,-0.00199058813769287,0.0272219822739956,-0.077570927576109,0.0735897513007232,0.945217791459525,1,1,0.945217791459525
Integrin_adhesion,full_gene,10,activity,5,-0.0440334508423303,0.0357486107229048,-0.143287506101561,0.0552206044169,0.285502576718332,0.3125,3,0.444115119339628
CXCR4_aging_retention,full_gene,10,activity,5,-0.181237637283704,0.0448922167229409,-0.305878412665592,-0.0565968619018164,0.0156405031435591,0.0625,5,0.109483522004914
NETosis,identity_markers_removed,1,activity,5,0.0103968458523525,0.0236410767006982,-0.0552413058349065,0.0760349975396115,0.682814312627372,0.6875,3,0.869036397889383
Degranulation,identity_markers_removed,1,activity,5,0.0304451075110304,0.0107982861076009,0.000464258903056607,0.0604259561190042,0.0478554028380155,0.0625,5,0.111662606622036
Oxidative_burst,identity_markers_removed,1,activity,5,-0.049279425761465,0.0528046790608562,-0.19588871847152,0.0973298669485895,0.403527441375368,0.375,3,0.564938417925515
Phagocytosis,identity_markers_removed,1,activity,5,-0.0995047669168658,0.0496416755023871,-0.237332153879286,0.0383226200455541,0.115526813422896,0.25,3,0.231053626845792
Chemotaxis,identity_markers_removed,1,activity,5,-0.120461732660892,0.0389887429738083,-0.228711837248337,-0.0122116280734474,0.0365866158697448,0.0625,5,0.111662606622036
OSM_inflammation,identity_markers_removed,1,activity,5,-0.0497734989448222,0.0174741281689519,-0.0982894565671075,-0.00125754132253681,0.0464704056331048,0.0625,5,0.111662606622036
Type_I_interferon,identity_markers_removed,1,activity,5,0.00102443514049,0.0104623018603703,-0.028023571648837,0.030072441929817,0.926708717234448,0.9375,4,0.973284688529287
Immature_granulopoiesis,identity_markers_removed,1,activity,5,0.0575615151144121,0.00817058508614996,0.034876334145369,0.0802466960834553,0.00214012904086299,0.0625,5,0.0299618065720819
Survival_antiapoptosis,identity_markers_removed,1,activity,5,-0.0516871567717973,0.0287606618847236,-0.131539555683887,0.0281652421402924,0.146724601669544,0.25,3,0.256768052921702
Hypoxia_glycolysis,identity_markers_removed,1,activity,5,0.00852115235725159,0.0303552286136471,-0.0757584735442689,0.0928007782587721,0.792850444154227,0.75,2,0.924992184846598
