DonorID,ConditionCode,program,value,cells,population,version
Donor4,UN,Chemotaxis,0.313674995248736,1239,Resolved,full_gene
Donor3,UN,Chemotaxis,0.251998783595074,2554,Resolved,full_gene
Donor2,UF,Chemotaxis,0.152881150096042,720,Resolved,full_gene
Donor3,UF,Chemotaxis,0.204735699243362,2349,Resolved,full_gene
Donor2,UN,Chemotaxis,0.163911015727574,461,Resolved,full_gene
Donor6,UF,Chemotaxis,0.080858181746427,369,Resolved,full_gene
Donor1,UF,Chemotaxis,0.114832509404749,140,Resolved,full_gene
Donor5,UF,Chemotaxis,0.239806329425444,28,Resolved,full_gene
Donor1,UN,Chemotaxis,0.189342706614149,87,Resolved,full_gene
Donor6,UN,Chemotaxis,0.0826980492717261,54,Resolved,full_gene
Donor5,UN,Chemotaxis,0.18519211793075,26,Resolved,full_gene
Donor4,UD,Chemotaxis,0.216132624897585,1847,Resolved,full_gene
Donor4,UA5,Chemotaxis,0.134957470853816,1576,Resolved,full_gene
Donor5,UD,Chemotaxis,-0.0970249355281567,1184,Resolved,full_gene
Donor2,UD,Chemotaxis,-0.0795204471048694,946,Resolved,full_gene
Donor3,UA5,Chemotaxis,0.139924693548947,2053,Resolved,full_gene
Donor1,UA5,Chemotaxis,-0.0524033382272834,1402,Resolved,full_gene
Donor2,UA5,Chemotaxis,-0.044593615451803,944,Resolved,full_gene
Donor6,UD,Chemotaxis,-0.125448670042744,481,Resolved,full_gene
Donor3,UD,Chemotaxis,0.101902830803393,1516,Resolved,full_gene
Donor6,UA5,Chemotaxis,-0.149812761522168,510,Resolved,full_gene
Donor1,UD,Chemotaxis,0.0419846596178606,200,Resolved,full_gene
Donor5,UA5,Chemotaxis,-0.171906238063758,4,Resolved,full_gene
Donor4,CF,Chemotaxis,0.254644333423725,2848,Resolved,full_gene
Donor3,NA5,Chemotaxis,0.305617940215076,3913,Resolved,full_gene
Donor2,NA5,Chemotaxis,0.0803366763189376,1148,Resolved,full_gene
Donor5,NA5,Chemotaxis,0.0508594323081427,2536,Resolved,full_gene
Donor3,CF,Chemotaxis,0.278889627398782,3355,Resolved,full_gene
