state,DonorID,delta,contrast,min_cells
CXCR4 neutrophil,Donor1,-0.16004840958234,UC_vs_control_fibroblasts,50
CXCR4 neutrophil,Donor3,-0.20006060809358,UC_vs_control_fibroblasts,50
CXCR4 neutrophil,Donor4,-0.436922748663874,UC_vs_control_fibroblasts,50
CXCR4 neutrophil,Donor6,-0.48319407314568,UC_vs_control_fibroblasts,50
MX1/ISG neutrophil,Donor1,-0.269034808520795,UC_vs_control_fibroblasts,50
MX1/ISG neutrophil,Donor3,-0.040800075458065,UC_vs_control_fibroblasts,50
MX1/ISG neutrophil,Donor4,-0.119501848532795,UC_vs_control_fibroblasts,50
MX1/ISG neutrophil,Donor6,-0.054494265217673,UC_vs_control_fibroblasts,50
OSM neutrophil,Donor1,0.28627127592626,UC_vs_control_fibroblasts,50
OSM neutrophil,Donor3,0.15026174873391,UC_vs_control_fibroblasts,50
OSM neutrophil,Donor4,0.42482999770664,UC_vs_control_fibroblasts,50
OSM neutrophil,Donor6,-0.10816470098878,UC_vs_control_fibroblasts,50
PADI4 neutrophil,Donor1,0.14281194217689,UC_vs_control_fibroblasts,50
PADI4 neutrophil,Donor3,0.0905989348177401,UC_vs_control_fibroblasts,50
PADI4 neutrophil,Donor4,0.13159459949004,UC_vs_control_fibroblasts,50
PADI4 neutrophil,Donor6,0.64585303935214,UC_vs_control_fibroblasts,50
CXCR4 neutrophil,Donor1,0.59877927090562,UC_vs_alone,50
CXCR4 neutrophil,Donor3,0.310289139494388,UC_vs_alone,50
CXCR4 neutrophil,Donor4,0.320972286371403,UC_vs_alone,50
CXCR4 neutrophil,Donor6,0.621305899875631,UC_vs_alone,50
MX1/ISG neutrophil,Donor1,1.16599965822626,UC_vs_alone,50
MX1/ISG neutrophil,Donor3,0.947185965300611,UC_vs_alone,50
MX1/ISG neutrophil,Donor4,0.679780122596851,UC_vs_alone,50
MX1/ISG neutrophil,Donor6,1.0113517241784,UC_vs_alone,50
OSM neutrophil,Donor1,-0.78419774284067,UC_vs_alone,50
OSM neutrophil,Donor3,0.1873518327997,UC_vs_alone,50
OSM neutrophil,Donor4,-0.11686920051594,UC_vs_alone,50
OSM neutrophil,Donor6,-0.68412273127469,UC_vs_alone,50
PADI4 neutrophil,Donor1,-0.9805811862912,UC_vs_alone,50
PADI4 neutrophil,Donor3,-1.44482693759469,UC_vs_alone,50
PADI4 neutrophil,Donor4,-0.883883208452303,UC_vs_alone,50
PADI4 neutrophil,Donor6,-0.948534892779338,UC_vs_alone,50
CXCR4 neutrophil,Donor1,0.75882768048796,control_fibroblasts_vs_alone,50
CXCR4 neutrophil,Donor3,0.510349747587968,control_fibroblasts_vs_alone,50
CXCR4 neutrophil,Donor4,0.757895035035277,control_fibroblasts_vs_alone,50
CXCR4 neutrophil,Donor6,1.10449997302131,control_fibroblasts_vs_alone,50
MX1/ISG neutrophil,Donor1,1.43503446674706,control_fibroblasts_vs_alone,50
MX1/ISG neutrophil,Donor3,0.987986040758676,control_fibroblasts_vs_alone,50
MX1/ISG neutrophil,Donor4,0.799281971129646,control_fibroblasts_vs_alone,50
MX1/ISG neutrophil,Donor6,1.06584598939607,control_fibroblasts_vs_alone,50
OSM neutrophil,Donor1,-1.07046901876693,control_fibroblasts_vs_alone,50
OSM neutrophil,Donor3,0.03709008406579,control_fibroblasts_vs_alone,50
OSM neutrophil,Donor4,-0.54169919822258,control_fibroblasts_vs_alone,50
OSM neutrophil,Donor6,-0.57595803028591,control_fibroblasts_vs_alone,50
PADI4 neutrophil,Donor1,-1.12339312846809,control_fibroblasts_vs_alone,50
PADI4 neutrophil,Donor3,-1.53542587241243,control_fibroblasts_vs_alone,50
PADI4 neutrophil,Donor4,-1.01547780794234,control_fibroblasts_vs_alone,50
PADI4 neutrophil,Donor6,-1.59438793213148,control_fibroblasts_vs_alone,50
