DonorID,ConditionCode,clean_cell_class,clean_state,cells,resolved,median_UMI,median_genes
Donor2,CF,Neutrophil,Low-signal/unresolved,41,0,218,115
Donor5,NA5,Neutrophil,OSM,1001,982,1479,659
Donor4,CF,Neutrophil,OSM,1298,1266,2389,913.5
Donor4,CF,Neutrophil,MX1/ISG-like,217,215,3026,1079
Donor2,NA5,Neutrophil,CXCR4,629,625,2010,829
Donor3,CF,Neutrophil,MX1/ISG-like,259,251,2930,1067
Donor3,NA5,Neutrophil,MX1/ISG-like,273,266,2968,1078
Donor4,NA5,Neutrophil,MX1/ISG-like,147,146,2937,1092
Donor4,CF,Neutrophil,PADI4,63,58,2245,931
Donor6,CF,Neutrophil,MX1/ISG-like,74,74,2999,1071.5
Donor5,CF,Neutrophil,Low-signal/unresolved,23,0,145,92
Donor4,NA5,Neutrophil,PADI4,23,23,2044,887
Donor3,NA5,Neutrophil,PADI4,59,57,2423,959
Donor6,CF,Neutrophil,PADI4,20,19,311.5,207
Donor1,NA5,Neutrophil,CXCR4,47,47,2280,975
Donor1,CF,Neutrophil,PADI4,36,35,602,281
Donor5,CF,Neutrophil,OSM,5,5,2342,949
Donor1,NA5,Neutrophil,OSM,22,21,1535.5,677
Donor3,CF,Fibroblast_candidate,Fibroblast candidate: low stromal signal,19,0,3124,1102
Donor5,CF,Neutrophil,CXCR4,5,5,3798,1449
Donor4,CF,Fibroblast_candidate,Fibroblast candidate: low stromal signal,16,0,3496,1277.5
Donor6,CF,Fibroblast_candidate,Fibroblast candidate: low stromal signal,5,0,2428,953
Donor6,CF,Fibroblast_candidate,Fibroblast candidate: mixed immune-stromal,1,0,6379,2045
Donor2,CF,Neutrophil,OSM,9,9,2919,1028
Donor1,NA5,Neutrophil,MX1/ISG-like,3,3,2858,1247
Donor1,CF,Fibroblast_candidate,Resting/adventitial fibroblast,1,0,2302,1130
Donor3,CF,Fibroblast_candidate,Fibroblast candidate: mixed immune-stromal,1,0,10463,2957
Donor2,CF,Neutrophil,CXCR4,11,11,2640,1004
Donor6,NA5,Neutrophil,Low-signal/unresolved,2,0,1213.5,537
Donor1,CF,Fibroblast_candidate,Fibroblast candidate: low stromal signal,3,0,3960,1378
Donor4,CF,Fibroblast_candidate,Inflammatory fibroblast,1,0,2094,841
Donor2,CF,Neutrophil,MX1/ISG-like,2,2,3282,1209
Donor6,NA5,Neutrophil,OSM,1,1,3791,1242
Donor5,CF,Neutrophil,PADI4,1,1,2200,877
