DonorID,program,version,composition,activity,total,retained_0,retained_1,n_states,n0,n1,min_state_cells
Donor4,Proliferation_stress,full_gene,0.0019686130734753,0.0426925865132801,0.0446611995867554,1,1,4,3393,1576,1
Donor4,Integrin_adhesion,full_gene,0.00190490794340195,0.0437781941386739,0.0456831020820758,1,1,4,3393,1576,1
Donor4,CXCR4_aging_retention,full_gene,0.00600312728184957,-0.0544643569243532,-0.0484612296425037,1,1,4,3393,1576,1
Donor4,NETosis,full_gene,0.00897778715523943,0.0786935419617808,0.0876713291170202,1,1,4,3393,1576,10
Donor4,Degranulation,full_gene,0.0106602050184389,0.0555097944955422,0.0661699995139811,1,1,4,3393,1576,10
Donor4,Oxidative_burst,full_gene,0.00148834850391899,0.101617614229267,0.103105962733186,1,1,4,3393,1576,10
Donor4,Phagocytosis,full_gene,0.0043375410948404,0.0394415143361145,0.0437790554309549,1,1,4,3393,1576,10
Donor4,Chemotaxis,full_gene,0.00374185939820966,-0.0261276796355281,-0.0223858202373185,1,1,4,3393,1576,10
Donor4,OSM_inflammation,full_gene,-0.0167186129116421,-0.0197540021376989,-0.036472615049341,1,1,4,3393,1576,10
Donor4,Type_I_interferon,full_gene,0.0210898686805432,0.017955961355773,0.0390458300363162,1,1,4,3393,1576,10
Donor4,Immature_granulopoiesis,full_gene,0.0109440642747031,0.0438025402944882,0.0547466045691913,1,1,4,3393,1576,10
Donor4,Survival_antiapoptosis,full_gene,-0.000339844324647519,0.0162465093145012,0.0159066649898537,1,1,4,3393,1576,10
Donor4,Hypoxia_glycolysis,full_gene,0.00218978307822657,0.0811162264062154,0.083306009484442,1,1,4,3393,1576,10
Donor4,ER_stress,full_gene,-0.00100128538174295,-0.0103370558355118,-0.0113383412172548,1,1,4,3393,1576,10
Donor4,Proliferation_stress,full_gene,0.0019686130734753,0.0426925865132801,0.0446611995867554,1,1,4,3393,1576,10
Donor4,Integrin_adhesion,full_gene,0.00190490794340195,0.0437781941386739,0.0456831020820758,1,1,4,3393,1576,10
Donor4,CXCR4_aging_retention,full_gene,0.00600312728184957,-0.0544643569243532,-0.0484612296425037,1,1,4,3393,1576,10
Donor3,NETosis,full_gene,0.00563471756896011,0.0476342647513364,0.0532689823202965,1,1,4,2349,2053,1
Donor3,Degranulation,full_gene,0.00793567110854135,0.0567043854844694,0.0646400565930108,1,1,4,2349,2053,1
Donor3,Oxidative_burst,full_gene,-0.00113854113137909,0.0525468412671713,0.0514083001357922,1,1,4,2349,2053,1
Donor3,Phagocytosis,full_gene,-0.00374280028299044,0.00255879498427252,-0.00118400529871792,1,1,4,2349,2053,1
Donor3,Chemotaxis,full_gene,-0.00637055266458997,-0.0584404530298246,-0.0648110056944146,1,1,4,2349,2053,1
Donor3,OSM_inflammation,full_gene,0.000219545941879115,-0.0137278465960467,-0.0135083006541675,1,1,4,2349,2053,1
Donor3,Type_I_interferon,full_gene,0.00826588271062407,0.00305294205349581,0.0113188247641199,1,1,4,2349,2053,1
Donor3,Immature_granulopoiesis,full_gene,0.0138305505888221,0.0678307112783326,0.0816612618671547,1,1,4,2349,2053,1
Donor3,Survival_antiapoptosis,full_gene,0.00126234408822921,0.0176256491230117,0.0188879932112409,1,1,4,2349,2053,1
Donor3,Hypoxia_glycolysis,full_gene,-0.000905059306087161,0.078276043290147,0.0773709839840599,1,1,4,2349,2053,1
Donor3,ER_stress,full_gene,-0.000333137303609089,-0.0312298405820749,-0.031562977885684,1,1,4,2349,2053,1
Donor3,Proliferation_stress,full_gene,0.00316001911560537,0.0274131071801592,0.0305731262957646,1,1,4,2349,2053,1
Donor3,Integrin_adhesion,full_gene,-0.000923548624106802,0.0406913408317009,0.0397677922075941,1,1,4,2349,2053,1
Donor3,CXCR4_aging_retention,full_gene,-0.00916369128916832,-0.0979454904540536,-0.107109181743222,1,1,4,2349,2053,1
Donor3,NETosis,full_gene,0.00563471756896011,0.0476342647513364,0.0532689823202965,1,1,4,2349,2053,10
Donor3,Degranulation,full_gene,0.00793567110854135,0.0567043854844694,0.0646400565930108,1,1,4,2349,2053,10
Donor3,Oxidative_burst,full_gene,-0.00113854113137909,0.0525468412671713,0.0514083001357922,1,1,4,2349,2053,10
Donor3,Phagocytosis,full_gene,-0.00374280028299044,0.00255879498427252,-0.00118400529871792,1,1,4,2349,2053,10
Donor3,Chemotaxis,full_gene,-0.00637055266458997,-0.0584404530298246,-0.0648110056944146,1,1,4,2349,2053,10
Donor3,OSM_inflammation,full_gene,0.000219545941879115,-0.0137278465960467,-0.0135083006541675,1,1,4,2349,2053,10
Donor3,Type_I_interferon,full_gene,0.00826588271062407,0.00305294205349581,0.0113188247641199,1,1,4,2349,2053,10
Donor3,Immature_granulopoiesis,full_gene,0.0138305505888221,0.0678307112783326,0.0816612618671547,1,1,4,2349,2053,10
Donor3,Survival_antiapoptosis,full_gene,0.00126234408822921,0.0176256491230117,0.0188879932112409,1,1,4,2349,2053,10
Donor3,Hypoxia_glycolysis,full_gene,-0.000905059306087161,0.078276043290147,0.0773709839840599,1,1,4,2349,2053,10
Donor3,ER_stress,full_gene,-0.000333137303609089,-0.0312298405820749,-0.031562977885684,1,1,4,2349,2053,10
Donor3,Proliferation_stress,full_gene,0.00316001911560537,0.0274131071801592,0.0305731262957646,1,1,4,2349,2053,10
Donor3,Integrin_adhesion,full_gene,-0.000923548624106802,0.0406913408317009,0.0397677922075941,1,1,4,2349,2053,10
Donor3,CXCR4_aging_retention,full_gene,-0.00916369128916832,-0.0979454904540536,-0.107109181743222,1,1,4,2349,2053,10
Donor1,NETosis,identity_markers_removed,0.0139990018741283,-0.0212338432224166,-0.00723484134828836,1,1,4,140,1402,1
Donor1,Degranulation,identity_markers_removed,0.0398381126268831,0.0221184839446181,0.0619565965715012,1,1,4,140,1402,1
Donor1,Oxidative_burst,identity_markers_removed,0.00196540511335845,-0.131535079422679,-0.129569674309321,1,1,4,140,1402,1
Donor1,Phagocytosis,identity_markers_removed,-0.00708587374549861,-0.178850209565546,-0.185936083311044,1,1,4,140,1402,1
Donor1,Chemotaxis,identity_markers_removed,-0.0121297662678221,-0.140964489434146,-0.153094255701968,1,1,4,140,1402,1
Donor1,OSM_inflammation,identity_markers_removed,-0.00757088694733917,-0.0346606064028289,-0.0422314933501681,1,1,4,140,1402,1
Donor1,Type_I_interferon,identity_markers_removed,0.0108928040694886,0.018749711169023,0.0296425152385117,1,1,4,140,1402,1
Donor1,Immature_granulopoiesis,identity_markers_removed,0.0485516831259273,0.0600929644968338,0.108644647622761,1,1,4,140,1402,1
Donor1,Survival_antiapoptosis,identity_markers_removed,0.00235506498314612,-0.118001070403229,-0.115646005420082,1,1,4,140,1402,1
Donor1,Hypoxia_glycolysis,identity_markers_removed,0.0042751373981939,-0.00921122405617377,-0.00493608665797988,1,1,4,140,1402,1
Donor1,ER_stress,identity_markers_removed,0.0064511970253261,-0.16847795822227,-0.162026761196943,1,1,4,140,1402,1
Donor1,Proliferation_stress,identity_markers_removed,0.00264352371335152,0.0367123958641328,0.0393559195774844,1,1,4,140,1402,1
Donor1,Integrin_adhesion,identity_markers_removed,0.00257792630075882,-0.1092710712226,-0.106693144921841,1,1,4,140,1402,1
Donor1,CXCR4_aging_retention,identity_markers_removed,-0.00936352691056291,-0.214670208071901,-0.224033734982464,1,1,4,140,1402,1
Donor1,NETosis,identity_markers_removed,-4.85739900808711e-05,-0.0510675216110926,-0.0511160956011735,0.935714285714286,0.893723252496434,2,140,1402,10
Donor1,Degranulation,identity_markers_removed,-0.000347575434818061,-0.00916787616867715,-0.00951545160349521,0.935714285714286,0.893723252496434,2,140,1402,10
Donor1,Oxidative_burst,identity_markers_removed,7.46184587210552e-05,-0.138043383580701,-0.13796876512198,0.935714285714286,0.893723252496434,2,140,1402,10
Donor1,Phagocytosis,identity_markers_removed,-0.000677553859432549,-0.187823771150157,-0.18850132500959,0.935714285714286,0.893723252496434,2,140,1402,10
