experiment,sample,group,marker,label,channel,quantile,threshold,positive_events,neutrophil_events,percent,median_fi,iqr_fi,cxcr4_parent_events,joint_with_cxcr4_events,percent_within_cxcr4,status
co,P4-9,N+IF+ATN+FK,OSM,OSM,R670-A,0.99,29.9038450367739,2301,13685,16.81402995981,-258.480783969391,449.126664657457,13681,2301,16.8189459834807,Provisional above-unstained threshold; no matched FMO
co,P4-9,N+IF+ATN+FK,B515,B515 signal (marker annotation unresolved),B515-A,0.99,124.969641045739,13676,13685,99.9342345633906,20898.301734642,11888.1774599987,13681,13672,99.9342153351363,Provisional above-unstained threshold; no matched FMO
co,P4-9,N+IF+ATN+FK,B710,B710 signal (marker annotation unresolved),B710-A,0.99,243.879070956721,13685,13685,100,10918.0553866953,5479.74892044397,13681,13681,100,Provisional above-unstained threshold; no matched FMO
co,P5-1,N+NF,CXCR4,CXCR4,V610-A,0.99,229.876206885687,1515,1515,100,5163.96262096006,3789.68129559454,1515,1515,100,Provisional above-unstained threshold; no matched FMO
co,P5-1,N+NF,OSM,OSM,R670-A,0.99,29.9038450367739,1000,1515,66.006600660066,110.419614238601,268.316919129829,1515,1000,66.006600660066,Provisional above-unstained threshold; no matched FMO
co,P5-1,N+NF,B515,B515 signal (marker annotation unresolved),B515-A,0.99,124.969641045739,1488,1515,98.2178217821782,11880.8470014276,5675.68266215483,1515,1488,98.2178217821782,Provisional above-unstained threshold; no matched FMO
co,P5-1,N+NF,B710,B710 signal (marker annotation unresolved),B710-A,0.99,243.879070956721,1513,1515,99.8679867986799,8553.86424721365,3218.03886778542,1515,1513,99.8679867986799,Provisional above-unstained threshold; no matched FMO
co,P5-10,N+ATN,CXCR4,CXCR4,V610-A,0.99,229.876206885687,6805,6807,99.9706184809755,4914.95263326101,3641.10245108685,6805,6805,100,Provisional above-unstained threshold; no matched FMO
co,P5-10,N+ATN,OSM,OSM,R670-A,0.99,29.9038450367739,930,6807,13.6624063464081,-285.592786098709,389.656950342019,6805,930,13.6664217487142,Provisional above-unstained threshold; no matched FMO
co,P5-10,N+ATN,B515,B515 signal (marker annotation unresolved),B515-A,0.99,124.969641045739,6797,6807,99.8530924048773,20470.6986560754,10829.9786642019,6805,6795,99.8530492285085,Provisional above-unstained threshold; no matched FMO
co,P5-10,N+ATN,B710,B710 signal (marker annotation unresolved),B710-A,0.99,243.879070956721,6807,6807,100,12071.6259507435,5740.43403064687,6805,6805,100,Provisional above-unstained threshold; no matched FMO
co,P5-11,N+ATN,CXCR4,CXCR4,V610-A,0.99,229.876206885687,1097,1097,100,4619.14076119438,4044.59616903067,1097,1097,100,Provisional above-unstained threshold; no matched FMO
co,P5-11,N+ATN,OSM,OSM,R670-A,0.99,29.9038450367739,187,1097,17.0464904284412,-276.553404128109,396.191197813362,1097,187,17.0464904284412,Provisional above-unstained threshold; no matched FMO
co,P5-11,N+ATN,B515,B515 signal (marker annotation unresolved),B515-A,0.99,124.969641045739,1075,1097,97.9945305378305,18939.7589364281,10092.7553395229,1097,1075,97.9945305378305,Provisional above-unstained threshold; no matched FMO
co,P5-11,N+ATN,B710,B710 signal (marker annotation unresolved),B710-A,0.99,243.879070956721,1094,1097,99.7265268915223,9797.85729823808,4576.18025476051,1097,1094,99.7265268915223,Provisional above-unstained threshold; no matched FMO
co,P5-12,N+ATN,CXCR4,CXCR4,V610-A,0.99,229.876206885687,926,928,99.7844827586207,4639.55683636912,4640.4002615282,926,926,100,Provisional above-unstained threshold; no matched FMO
co,P5-12,N+ATN,OSM,OSM,R670-A,0.99,29.9038450367739,277,928,29.8491379310345,-90.5150198947212,338.744670194632,926,277,29.9136069114471,Provisional above-unstained threshold; no matched FMO
co,P5-12,N+ATN,B515,B515 signal (marker annotation unresolved),B515-A,0.99,124.969641045739,906,928,97.6293103448276,14273.9636527713,9558.60852384301,926,904,97.6241900647948,Provisional above-unstained threshold; no matched FMO
co,P5-12,N+ATN,B710,B710 signal (marker annotation unresolved),B710-A,0.99,243.879070956721,926,928,99.7844827586207,8822.36419365268,5090.2362692515,926,924,99.7840172786177,Provisional above-unstained threshold; no matched FMO
co,P5-2,N+NF,CXCR4,CXCR4,V610-A,0.99,229.876206885687,1866,1866,100,5309.76271118466,3925.87456359639,1866,1866,100,Provisional above-unstained threshold; no matched FMO
co,P5-2,N+NF,OSM,OSM,R670-A,0.99,29.9038450367739,729,1866,39.0675241157556,-47.9771402123852,415.078445935491,1866,729,39.0675241157556,Provisional above-unstained threshold; no matched FMO
co,P5-2,N+NF,B515,B515 signal (marker annotation unresolved),B515-A,0.99,124.969641045739,1849,1866,99.0889603429796,18333.3266093462,10495.4404869816,1866,1849,99.0889603429796,Provisional above-unstained threshold; no matched FMO
co,P5-2,N+NF,B710,B710 signal (marker annotation unresolved),B710-A,0.99,243.879070956721,1866,1866,100,11376.865532062,5316.89657365886,1866,1866,100,Provisional above-unstained threshold; no matched FMO
co,P5-3,N+NF,CXCR4,CXCR4,V610-A,0.99,229.876206885687,7507,7507,100,5445.16570410926,4181.71337315289,7507,7507,100,Provisional above-unstained threshold; no matched FMO
co,P5-3,N+NF,OSM,OSM,R670-A,0.99,29.9038450367739,1766,7507,23.5247102704143,-197.573928272655,429.018361382212,7507,1766,23.5247102704143,Provisional above-unstained threshold; no matched FMO
co,P5-3,N+NF,B515,B515 signal (marker annotation unresolved),B515-A,0.99,124.969641045739,7491,7507,99.786865592114,20178.8029208394,11043.9035447912,7507,7491,99.786865592114,Provisional above-unstained threshold; no matched FMO
co,P5-3,N+NF,B710,B710 signal (marker annotation unresolved),B710-A,0.99,243.879070956721,7507,7507,100,12332.2132910447,6456.88146463337,7507,7507,100,Provisional above-unstained threshold; no matched FMO
co,P5-4,N+NF,CXCR4,CXCR4,V610-A,0.99,229.876206885687,7352,7352,100,5762.40555507337,4725.01074254057,7352,7352,100,Provisional above-unstained threshold; no matched FMO
co,P5-4,N+NF,OSM,OSM,R670-A,0.99,29.9038450367739,2658,7352,36.1534276387378,-66.4856838603061,372.157231812151,7352,2658,36.1534276387378,Provisional above-unstained threshold; no matched FMO
co,P5-4,N+NF,B515,B515 signal (marker annotation unresolved),B515-A,0.99,124.969641045739,7345,7352,99.90478781284,17055.1364855102,9473.14078446799,7352,7345,99.90478781284,Provisional above-unstained threshold; no matched FMO
co,P5-4,N+NF,B710,B710 signal (marker annotation unresolved),B710-A,0.99,243.879070956721,7351,7352,99.9863982589772,10535.1752815434,5880.00211770026,7352,7351,99.9863982589772,Provisional above-unstained threshold; no matched FMO
co,P5-6,N+NF,CXCR4,CXCR4,V610-A,0.99,229.876206885687,734,734,100,4928.31389980198,4477.13316027769,734,734,100,Provisional above-unstained threshold; no matched FMO
co,P5-6,N+NF,OSM,OSM,R670-A,0.99,29.9038450367739,342,734,46.5940054495913,8.16326214590835,343.413817546113,734,342,46.5940054495913,Provisional above-unstained threshold; no matched FMO
co,P5-6,N+NF,B515,B515 signal (marker annotation unresolved),B515-A,0.99,124.969641045739,707,734,96.3215258855586,13290.7819548225,7246.8630335364,734,707,96.3215258855586,Provisional above-unstained threshold; no matched FMO
co,P5-6,N+NF,B710,B710 signal (marker annotation unresolved),B710-A,0.99,243.879070956721,732,734,99.7275204359673,9576.53319649804,4038.39113668211,734,732,99.7275204359673,Provisional above-unstained threshold; no matched FMO
co,P5-7,N+ATN,CXCR4,CXCR4,V610-A,0.99,229.876206885687,1642,1642,100,4980.62411462058,3482.46528964643,1642,1642,100,Provisional above-unstained threshold; no matched FMO
co,P5-7,N+ATN,OSM,OSM,R670-A,0.99,29.9038450367739,998,1642,60.7795371498173,89.2831118212886,304.264477658089,1642,998,60.7795371498173,Provisional above-unstained threshold; no matched FMO
co,P5-7,N+ATN,B515,B515 signal (marker annotation unresolved),B515-A,0.99,124.969641045739,1617,1642,98.4774665042631,14094.4593817524,6515.8296610548,1642,1617,98.4774665042631,Provisional above-unstained threshold; no matched FMO
co,P5-7,N+ATN,B710,B710 signal (marker annotation unresolved),B710-A,0.99,243.879070956721,1641,1642,99.9390986601705,9578.17386494897,3772.68436502248,1642,1641,99.9390986601705,Provisional above-unstained threshold; no matched FMO
co,P5-8,N+ATN,CXCR4,CXCR4,V610-A,0.99,229.876206885687,3591,3591,100,4889.09315527793,3399.98208761375,3591,3591,100,Provisional above-unstained threshold; no matched FMO
