Fine_annotation_3,HS,Condition,cells
17-Fibroblast_PLAC9_FZD8hi,FOV15_HS50_VDZ_RS_POST_1_Mayo2_Non-responder,VDZ_POST_Non-responder,74
16-unassigned,FOV15_HS50_VDZ_RS_POST_1_Mayo2_Non-responder,VDZ_POST_Non-responder,96
20_21_23_Endothelial,FOV15_HS50_VDZ_RS_POST_1_Mayo2_Non-responder,VDZ_POST_Non-responder,55
11_22-IgG_plasma_cell,FOV15_HS50_VDZ_RS_POST_1_Mayo2_Non-responder,VDZ_POST_Non-responder,436
10_19-B_cells,FOV15_HS50_VDZ_RS_POST_1_Mayo2_Non-responder,VDZ_POST_Non-responder,53
9-CCL3_L3_CCL4_L2hi,FOV15_HS50_VDZ_RS_POST_1_Mayo2_Non-responder,VDZ_POST_Non-responder,136
06-Cytotoxic_NK,FOV15_HS50_VDZ_RS_POST_1_Mayo2_Non-responder,VDZ_POST_Non-responder,106
15-Fibroblast_PDGFRBhi,FOV15_HS50_VDZ_RS_POST_1_Mayo2_Non-responder,VDZ_POST_Non-responder,63
12-unassigned,FOV15_HS50_VDZ_RS_POST_1_Mayo2_Non-responder,VDZ_POST_Non-responder,70
14-unassigned,FOV15_HS50_VDZ_RS_POST_1_Mayo2_Non-responder,VDZ_POST_Non-responder,81
05-MNP_NOS,FOV15_HS50_VDZ_RS_POST_1_Mayo2_Non-responder,VDZ_POST_Non-responder,59
01C_24_activated_fibroblast,FOV15_HS50_VDZ_RS_POST_1_Mayo2_Non-responder,VDZ_POST_Non-responder,75
03_26-IgA_plasma_cell,FOV15_HS50_VDZ_RS_POST_1_Mayo2_Non-responder,VDZ_POST_Non-responder,182
08_27_IEC_colonocyte,FOV15_HS50_VDZ_RS_POST_1_Mayo2_Non-responder,VDZ_POST_Non-responder,14
18-unassigned,FOV15_HS50_VDZ_RS_POST_1_Mayo2_Non-responder,VDZ_POST_Non-responder,41
07-T_cells,FOV15_HS50_VDZ_RS_POST_1_Mayo2_Non-responder,VDZ_POST_Non-responder,146
1B-Fibroblast,FOV15_HS50_VDZ_RS_POST_1_Mayo2_Non-responder,VDZ_POST_Non-responder,113
05F-MNP_monocyte_neutrophil,FOV15_HS50_VDZ_RS_POST_1_Mayo2_Non-responder,VDZ_POST_Non-responder,13
05A-MNP-M1_Macrophage,FOV15_HS50_VDZ_RS_POST_1_Mayo2_Non-responder,VDZ_POST_Non-responder,5
05B-MNP-M2_macrophage,FOV15_HS50_VDZ_RS_POST_1_Mayo2_Non-responder,VDZ_POST_Non-responder,10
01-IEC_crypt_base,FOV15_HS50_VDZ_RS_POST_1_Mayo2_Non-responder,VDZ_POST_Non-responder,70
05C-MNP-mDC,FOV15_HS50_VDZ_RS_POST_1_Mayo2_Non-responder,VDZ_POST_Non-responder,3
01A-Muscularis mucosae and myofibroblast,FOV15_HS50_VDZ_RS_POST_1_Mayo2_Non-responder,VDZ_POST_Non-responder,15
13-IEC_crypt_base_MHCIIhi,FOV15_HS50_VDZ_RS_POST_1_Mayo2_Non-responder,VDZ_POST_Non-responder,47
05E-MNP-pDC,FOV15_HS50_VDZ_RS_POST_1_Mayo2_Non-responder,VDZ_POST_Non-responder,5
