sample_uid,sample_id,dataset_source,source_batch,source_condition,contrast,contrast_short,condition_label,treatment_status,total_cells,compartment,feature_scope,feature,numerator_cells,denominator_cells,proportion
FAPTK__D1,D1,FAPTK,M1,FAP-TK_PBS_DSS,FAP ablation during DSS,FAP ablation,FAP-TK PBS+DSS,Reference,4490,Epithelial,Level 3 fraction within compartment,Secretory-absorptive transitional epithelial,4,1251,0.00319744204636291
FAPTK__D1,D1,FAPTK,M1,FAP-TK_PBS_DSS,DSS induction in FAP-TK cohort,FAP-TK DSS induction,FAP-TK PBS+DSS,Treatment,4490,Epithelial,Level 3 fraction within compartment,Secretory-absorptive transitional epithelial,4,1251,0.00319744204636291
FAPTK__D1,D1,FAPTK,M1,FAP-TK_PBS_DSS,DSS induction in a5B1 cohort,DSS induction,Severe DSS colitis,Treatment,4490,Epithelial,Level 3 fraction within compartment,Secretory-absorptive transitional epithelial,4,1251,0.00319744204636291
FAPTK__D1,D1,FAPTK,M1,FAP-TK_PBS_DSS,alpha5beta1 blockade during DSS,alpha5beta1 blockade,Severe DSS colitis,Reference,4490,Epithelial,Level 3 fraction within compartment,Secretory-absorptive transitional epithelial,4,1251,0.00319744204636291
FAPTK__D1,D1,FAPTK,M1,FAP-TK_PBS_DSS,FAP ablation during DSS,FAP ablation,FAP-TK PBS+DSS,Reference,4490,Epithelial,Level 3 fraction within compartment,Zg16+ secretory epithelial,9,1251,0.00719424460431655
FAPTK__D1,D1,FAPTK,M1,FAP-TK_PBS_DSS,DSS induction in FAP-TK cohort,FAP-TK DSS induction,FAP-TK PBS+DSS,Treatment,4490,Epithelial,Level 3 fraction within compartment,Zg16+ secretory epithelial,9,1251,0.00719424460431655
FAPTK__D1,D1,FAPTK,M1,FAP-TK_PBS_DSS,DSS induction in a5B1 cohort,DSS induction,Severe DSS colitis,Treatment,4490,Epithelial,Level 3 fraction within compartment,Zg16+ secretory epithelial,9,1251,0.00719424460431655
FAPTK__D1,D1,FAPTK,M1,FAP-TK_PBS_DSS,alpha5beta1 blockade during DSS,alpha5beta1 blockade,Severe DSS colitis,Reference,4490,Epithelial,Level 3 fraction within compartment,Zg16+ secretory epithelial,9,1251,0.00719424460431655
FAPTK__D2,D2,FAPTK,M1,FAP-TK_PBS_DSS,FAP ablation during DSS,FAP ablation,FAP-TK PBS+DSS,Reference,1071,Epithelial,Level 3 fraction within compartment,Absorptive-secretory transitional epithelial,2,568,0.00352112676056338
FAPTK__D2,D2,FAPTK,M1,FAP-TK_PBS_DSS,DSS induction in FAP-TK cohort,FAP-TK DSS induction,FAP-TK PBS+DSS,Treatment,1071,Epithelial,Level 3 fraction within compartment,Absorptive-secretory transitional epithelial,2,568,0.00352112676056338
